IDObs	Observer	Country	IDLocality	Lat	Lon	Species	BodyMass	date_	Year	Day	Hour	Temp	Covid	StringencyIndex	Human	Height	FlockSize	SD	FID
1	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-15	2020	77	10	16	1	35.19	2	0	1	35	5
2	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Turdus_pilaris	106	2020-06-15	2020	77	10	16	1	35.19	1	0	1	40	17
3	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Motacilla_alba	23.93	2020-06-15	2020	77	10	16	1	35.19	1	0	1	48	2
4	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Turdus_pilaris	106	2020-06-15	2020	77	10	16	1	35.19	1	0	1	63	17
5	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Turdus_pilaris	106	2020-06-15	2020	77	10	16	1	35.19	0	0	2	60	18
6	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Turdus_pilaris	106	2020-06-15	2020	77	10	17	1	35.19	3	0	1	35	9
7	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Turdus_pilaris	106	2020-06-15	2020	77	10	17	1	35.19	0	0	1	38	5
8	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Turdus_pilaris	106	2020-06-15	2020	77	10	17	1	35.19	0	0	1	34	15
9	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Fringilla_coelebs	23.81	2020-06-15	2020	77	10	17	1	35.19	0	0	1	21	2
10	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Turdus_pilaris	106	2020-06-15	2020	77	11	17	1	35.19	0	0	1	30	10
11	Jukka_Jokimaki	Finland	R3	66.50452626	25.73839633	Larus_ridibundus	284	2020-06-15	2020	77	11	17	1	35.19	1	0	1	26	16
12	Jukka_Jokimaki	Finland	R3	66.50452626	25.73839633	Bucephala_clangula	918.56	2020-06-15	2020	77	11	17	1	35.19	0	0	6	32	22
13	Jukka_Jokimaki	Finland	R1	66.50855949	25.73019389	Pica_pica	217.48	2020-06-15	2020	77	11	17	1	35.19	0	0	1	41	34
14	Jukka_Jokimaki	Finland	R1	66.50855949	25.73019389	Turdus_pilaris	106	2020-06-15	2020	77	11	17	1	35.19	0	0	1	30	20
15	Jukka_Jokimaki	Finland	R16	66.50521512	25.68643311	Turdus_pilaris	106	2020-06-26	2020	88	8	17	1	35.19	0	0	1	44	12
16	Jukka_Jokimaki	Finland	R17	66.50640119	25.69235117	Turdus_iliacus	61.2	2020-06-26	2020	88	8	17	1	35.19	1	0	2	19	9
17	Jukka_Jokimaki	Finland	R17	66.50640119	25.69235117	Turdus_pilaris	106	2020-06-26	2020	88	8	17	1	35.19	3	0	1	34	4
18	Jukka_Jokimaki	Finland	R18	66.50759747	25.69521142	Motacilla_alba	23.93	2020-06-26	2020	88	8	17	1	35.19	0	0	1	34	24
19	Jukka_Jokimaki	Finland	R19	66.50133154	25.70810623	Larus_ridibundus	284	2020-06-26	2020	88	9	17	1	35.19	2	0	1	36	12
20	Jukka_Jokimaki	Finland	R20	66.49916851	25.70723259	Passer_montanus	21.39	2020-06-26	2020	88	9	18	1	35.19	1	0	8	24	8
21	Jukka_Jokimaki	Finland	R20	66.49916851	25.70723259	Motacilla_alba	23.93	2020-06-26	2020	88	9	18	1	35.19	4	0	1	22	8
22	Jukka_Jokimaki	Finland	R20	66.49916851	25.70723259	Turdus_pilaris	106	2020-06-26	2020	88	9	18	1	35.19	4	0	1	16	2
23	Jukka_Jokimaki	Finland	R21	66.49894879	25.71206896	Corvus_monedula	246	2020-06-26	2020	88	9	18	1	35.19	3	0	1	16	6
24	Jukka_Jokimaki	Finland	R9	66.49833855	25.71456587	Corvus_monedula	246	2020-06-26	2020	88	9	18	1	35.19	1	0	1	20	10
25	Jukka_Jokimaki	Finland	R5	66.49702991	25.72243559	Motacilla_alba	23.93	2020-06-26	2020	88	9	18	1	35.19	6	0	1	24	8
26	Jukka_Jokimaki	Finland	R5	66.49702991	25.72243559	Corvus_corone	570	2020-06-26	2020	88	9	18	1	35.19	2	0	2	30	10
27	Jukka_Jokimaki	Finland	R5	66.49702991	25.72243559	Motacilla_alba	23.93	2020-06-26	2020	88	10	18	1	35.19	2	0	1	38	6
28	Jukka_Jokimaki	Finland	R7	66.49475726	25.72543107	Motacilla_alba	23.93	2020-06-26	2020	88	10	19	1	35.19	1	0	1	16	6
29	Jukka_Jokimaki	Finland	R22	66.49400727	25.73071328	Motacilla_alba	23.93	2020-06-26	2020	88	10	19	1	35.19	0	0	1	20	5
30	Jukka_Jokimaki	Finland	R22	66.49400727	25.73071328	Motacilla_alba	23.93	2020-06-26	2020	88	10	19	1	35.19	0	0	1	18	6
31	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Larus_ridibundus	284	2020-06-26	2020	88	10	19	1	35.19	0	0	2	42	14
32	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Anas_penelope	770.03	2020-06-26	2020	88	10	19	1	35.19	2	0	5	14	2
33	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Larus_ridibundus	284	2020-06-26	2020	88	10	19	1	35.19	0	0	1	18	5
34	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Turdus_pilaris	106	2020-06-26	2020	88	10	19	1	35.19	3	0	1	17	5
35	Jukka_Jokimaki	Finland	R23	66.49089379	25.72646695	Corvus_corone	570	2020-06-26	2020	88	10	20	1	35.19	0	0	1	20	5
36	Jukka_Jokimaki	Finland	R24	66.48644597	25.71559916	Motacilla_alba	23.93	2020-06-26	2020	88	11	20	1	35.19	0	0	1	33	8
37	Jukka_Jokimaki	Finland	R25	66.48705285	25.70614389	Motacilla_alba	23.93	2020-06-26	2020	88	11	20	1	35.19	3	0	1	73	3
38	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-26	2020	88	11	20	1	35.19	2	0	1	17	4
39	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Motacilla_alba	23.93	2020-06-26	2020	88	11	20	1	35.19	6	0	1	18	5
40	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Fringilla_coelebs	23.81	2020-06-26	2020	88	11	20	1	35.19	2	0	1	22	7
41	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Fringilla_coelebs	23.81	2020-06-26	2020	88	11	20	1	35.19	2	0	1	34	9
42	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Motacilla_alba	23.93	2020-06-26	2020	88	11	20	1	35.19	4	0	1	23	5
43	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-26	2020	88	11	20	1	35.19	0	0	1	19	4
44	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Ficedula_hypoleuca	13.79	2020-06-26	2020	88	11	21	1	35.19	0	0	1	16	5
45	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Motacilla_alba	23.93	2020-06-26	2020	88	11	21	1	35.19	3	0	1	41	6
46	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-26	2020	88	11	21	1	35.19	4	0	1	20	5
47	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-26	2020	88	11	21	1	35.19	3	0	1	23	6
48	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-26	2020	88	11	21	1	35.19	6	0	2	51	1
49	Jukka_Jokimaki	Finland	R26	66.48229345	25.68539453	Turdus_iliacus	61.2	2020-06-26	2020	88	12	21	1	35.19	0	0	1	43	16
50	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Anas_penelope	770.03	2020-06-26	2020	88	12	21	1	35.19	5	0	9	46	8
51	Jukka_Jokimaki	Finland	R27	66.49429924	25.71172446	Corvus_monedula	246	2020-06-26	2020	88	12	21	1	35.19	7	0	2	51	4
52	Jukka_Jokimaki	Finland	R28	66.49716898	25.71664061	Pica_pica	217.48	2020-06-26	2020	88	12	21	1	35.19	5	0	1	21	6
53	Jukka_Jokimaki	Finland	R28	66.49716898	25.71664061	Pica_pica	217.48	2020-06-26	2020	88	17	20	1	35.19	5	0	1	27	12
54	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Motacilla_alba	23.93	2020-06-26	2020	88	17	20	1	35.19	1	0	1	34	6
55	Jukka_Jokimaki	Finland	R3	66.50452626	25.73839633	Larus_ridibundus	284	2020-06-26	2020	88	18	20	1	35.19	5	0	1	45	7
56	Jukka_Jokimaki	Finland	R29	66.50727762	25.73343443	Passer_domesticus	26.51	2020-06-26	2020	88	18	20	1	35.19	3	0	4	22	5
57	Jukka_Jokimaki	Finland	R1	66.50855949	25.73019389	Larus_ridibundus	284	2020-06-26	2020	88	18	20	1	35.19	1	0	1	44	10
58	Jukka_Jokimaki	Finland	R29	66.50727762	25.73343443	Motacilla_alba	23.93	2020-06-26	2020	88	18	20	1	35.19	10	0	1	18	4
59	Jukka_Jokimaki	Finland	R29	66.50727762	25.73343443	Larus_ridibundus	284	2020-06-26	2020	88	18	20	1	35.19	10	0	1	20	10
60	Jukka_Jokimaki	Finland	R14	66.50012698	25.74486557	Larus_ridibundus	284	2020-06-26	2020	88	18	20	1	35.19	5	0	40	65	5
61	Jukka_Jokimaki	Finland	R12	66.49706259	25.73348422	Turdus_pilaris	106	2020-06-26	2020	88	18	20	1	35.19	1	0	1	21	8
62	Jukka_Jokimaki	Finland	R7	66.49475726	25.72543107	Turdus_pilaris	106	2020-06-26	2020	88	18	20	1	35.19	0	0	1	30	5
63	Jukka_Jokimaki	Finland	R30	66.50275994	25.69453114	Turdus_iliacus	61.2	2020-06-27	2020	89	14	17	1	35.19	0	0	1	18	7
64	Jukka_Jokimaki	Finland	R31	66.49322087	25.69109252	Corvus_monedula	246	2020-06-29	2020	91	7	14	1	35.19	5	0	1	19	8
65	Jukka_Jokimaki	Finland	R31	66.49322087	25.69109252	Motacilla_alba	23.93	2020-06-29	2020	91	7	14	1	35.19	1	0	1	37	9
66	Jukka_Jokimaki	Finland	R31	66.49322087	25.69109252	Corvus_corone	570	2020-06-29	2020	91	7	14	1	35.19	1	0	1	42	12
67	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-29	2020	91	7	14	1	35.19	2	0	1	19	15
68	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-29	2020	91	7	14	1	35.19	0	0	1	45	8
69	Jukka_Jokimaki	Finland	R2	66.48880481	25.69592773	Turdus_pilaris	106	2020-06-29	2020	91	7	14	1	35.19	2	0	1	37	4
70	Jukka_Jokimaki	Finland	R25	66.48705285	25.70614389	Turdus_pilaris	106	2020-06-29	2020	91	8	14	1	35.19	1	0	1	17	5
71	Jukka_Jokimaki	Finland	R25	66.48705285	25.70614389	Turdus_iliacus	61.2	2020-06-29	2020	91	8	14	1	35.19	1	0	1	26	13
72	Jukka_Jokimaki	Finland	R32	66.48499813	25.70861944	Motacilla_alba	23.93	2020-06-29	2020	91	8	15	1	35.19	3	0	1	17	2
73	Jukka_Jokimaki	Finland	R32	66.48499813	25.70861944	Passer_domesticus	26.51	2020-06-29	2020	91	8	15	1	35.19	3	0	2	22	5
74	Jukka_Jokimaki	Finland	R33	66.48502664	25.71353014	Corvus_corone	570	2020-06-29	2020	91	8	15	1	35.19	1	0	1	56	16
75	Jukka_Jokimaki	Finland	R24	66.48644597	25.71559916	Turdus_pilaris	106	2020-06-29	2020	91	8	15	1	35.19	1	0	1	27	5
76	Jukka_Jokimaki	Finland	R34	66.47963952	25.705913	Motacilla_alba	23.93	2020-06-29	2020	91	8	15	1	35.19	0	0	1	31	10
77	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Turdus_pilaris	106	2020-06-29	2020	91	8	15	1	35.19	2	0	1	30	21
78	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Larus_ridibundus	284	2020-06-29	2020	91	9	15	1	35.19	0	0	11	51	28
79	Jukka_Jokimaki	Finland	R15	66.48705285	25.70614389	Larus_ridibundus	284	2020-06-29	2020	91	9	15	1	35.19	1	0	1	41	18
80	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Turdus_pilaris	106	2020-06-29	2020	91	9	16	1	35.19	0	0	1	34	4
81	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Turdus_pilaris	106	2020-06-29	2020	91	9	16	1	35.19	1	0	1	15	5
82	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Larus_ridibundus	284	2020-06-29	2020	91	9	16	1	35.19	1	0	1	45	5
83	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Turdus_pilaris	106	2020-06-29	2020	91	9	16	1	35.19	1	0	1	29	9
84	Jukka_Jokimaki	Finland	R6	66.49329163	25.72792113	Motacilla_alba	23.93	2020-06-29	2020	91	10	17	1	35.19	2	0	1	53	8
