IDObs	Human
1	2
2	1
3	1
4	1
5	0
6	3
7	0
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	1
17	3
18	0
19	2
20	1
21	4
22	4
23	3
24	1
25	6
26	2
27	2
28	1
29	0
30	0
31	0
32	2
33	0
34	3
35	0
36	0
37	3
38	2
39	6
40	2
41	2
42	4
43	0
44	0
45	3
46	4
47	3
48	6
49	0
50	5
51	7
52	5
53	5
54	1
55	5
56	3
57	1
58	10
59	10
60	5
61	1
62	0
63	0
64	5
65	1
66	1
67	2
68	0
69	2
70	1
71	1
72	3
73	3
74	1
75	1
76	0
77	2
78	0
79	1
80	0
81	1
82	1
83	1
84	2
85	2
86	2
87	2
88	3
89	3
90	1
91	1
92	2
93	3
94	7
95	30
96	3
97	2
98	2
99	1
100	2
101	3
102	0
103	2
104	2
105	3
106	3
107	0
108	3
109	1
110	7
111	2
112	6
113	1
114	0
115	2
116	2
117	0
118	2
119	2
120	0
121	0
122	0
123	0
124	0
125	5
126	1
127	2
128	2
129	2
130	0
131	0
132	3
133	3
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	2
145	0
146	0
147	0
148	0
149	1
150	1
151	3
152	4
153	4
154	0
155	2
156	0
157	2
158	1
159	0
160	1
161	2
168	0
169	0
170	0
171	2
172	7
173	3
174	3
175	0
176	2
177	3
178	2
179	2
180	1
181	3
182	3
183	3
184	46
185	0
186	0
187	3
188	3
189	3
190	2
191	0
192	2
193	0
194	3
195	0
196	3
197	0
198	0
199	1
200	2
201	0
202	0
203	0
204	0
205	1
206	0
207	2
208	1
209	0
210	0
211	5
212	0
213	0
214	4
215	0
216	0
217	11
218	6
219	7
220	3
221	9
222	7
223	9
224	6
225	2
226	4
227	4
228	7
229	5
230	0
231	1
232	0
233	2
234	4
235	0
236	0
237	8
238	3
239	1
240	3
241	7
242	2
243	4
244	6
245	1
246	0
247	0
248	0
249	0
250	0
251	0
252	1
253	4
254	0
255	0
256	4
257	1
258	6
259	5
260	3
261	6
262	6
263	3
264	2
265	1
266	3
267	5
268	4
269	0
270	0
271	0
272	0
273	0
274	1
275	5
276	7
277	0
278	4
279	2
280	9
281	0
282	0
283	0
284	0
285	5
286	5
287	4
288	12
289	4
290	2
291	2
292	4
293	0
294	2
295	6
296	2
297	2
298	7
299	1
300	1
301	1
302	0
303	2
304	2
305	5
306	9
307	0
308	5
309	1
310	1
311	1
312	0
313	0
314	0
315	1
316	0
317	0
318	0
319	0
320	1
321	1
322	7
323	2
324	0
325	0
326	0
327	0
328	8
329	4
330	0
331	0
332	4
333	3
334	6
335	3
336	0
337	4
338	8
339	1
340	8
341	7
342	21
343	2
344	2
345	2
346	10
347	6
348	3
349	0
350	0
357	1
358	2
359	1
360	1
361	1
362	0
363	0
364	0
365	0
366	2
367	0
368	5
369	10
370	0
371	0
372	0
373	0
374	0
375	3
376	3
377	3
378	3
379	3
380	3
381	3
382	3
383	1
384	0
385	0
386	0
387	0
388	1
389	1
390	0
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	6
401	0
402	0
403	1
404	0
405	0
406	0
407	3
408	2
409	4
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	1
418	0
419	0
420	6
421	0
422	0
423	0
424	0
425	0
426	20
427	0
428	0
429	15
430	18
431	18
432	18
433	17
434	4
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	2
447	3
448	0
449	0
450	0
451	2
452	2
453	2
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	2
464	2
465	2
466	2
467	3
468	3
469	3
470	3
471	0
472	0
473	0
474	12
475	12
476	0
477	0
478	0
479	1
480	0
481	0
482	1
483	1
484	0
485	0
486	0
487	5
488	4
489	1
490	3
491	0
492	0
493	15
494	0
495	4
496	2
497	8
498	8
499	5
500	3
501	3
502	3
503	4
504	4
505	5
506	0
507	0
508	6
509	4
510	7
511	7
512	0
513	0
514	0
515	0
516	0
517	0
518	4
519	6
520	6
521	3
522	3
523	2
524	2
525	0
526	0
527	3
528	2
529	4
530	5
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	2
541	1
542	0
543	0
544	2
545	2
546	0
547	0
604	0
605	0
606	1
607	0
608	2
609	2
610	2
611	0
612	0
613	1
614	3
615	0
616	0
617	2
618	2
619	0
620	0
621	0
622	0
623	0
624	2
625	2
626	2
627	0
628	0
629	0
630	1
631	1
632	0
633	0
634	0
635	0
636	0
637	0
638	2
639	2
640	0
641	0
642	0
643	0
644	0
645	0
646	2
647	2
648	2
649	0
713	10
714	2
715	2
716	2
717	2
718	2
719	2
720	2
721	2
722	2
723	2
724	2
725	2
726	2
727	2
728	2
729	2
730	2
731	2
732	2
733	2
734	2
735	2
736	2
737	2
738	2
739	2
740	2
741	2
742	2
743	4
744	4
745	4
746	4
747	4
748	4
749	4
750	4
751	6
752	6
753	10
754	10
755	10
756	10
757	10
758	10
759	0
760	0
761	0
762	0
763	1
764	1
765	1
766	1
767	1
768	1
769	1
770	1
771	1
772	1
773	1
774	1
775	1
776	1
777	1
778	6
779	6
780	6
781	6
782	1
783	1
784	1
785	1
786	1
787	1
788	1
789	1
790	3
791	3
792	3
793	3
794	1
795	1
796	1
797	1
798	1
799	0
800	0
801	0
802	0
803	0
804	0
805	2
806	2
807	4
808	4
809	4
810	4
811	5
812	5
813	5
814	5
815	5
816	3
817	3
818	3
819	3
820	3
821	3
822	3
823	3
824	3
825	3
826	3
827	3
828	3
829	3
830	3
831	3
832	3
833	3
834	3
835	3
836	3
837	3
838	3
839	3
840	3
841	3
842	3
843	3
844	3
845	3
846	3
847	1
848	1
849	1
850	1
851	1
852	1
853	1
854	1
855	1
856	2
857	2
858	2
859	2
860	3
861	3
862	3
863	3
864	3
865	3
866	3
867	3
868	3
869	1
870	1
871	1
872	1
873	1
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	24
883	24
884	9
885	31
886	24
887	24
888	24
889	16
890	16
891	16
892	16
893	16
894	16
895	6
896	6
897	6
898	6
899	6
900	6
901	6
902	6
903	6
904	6
905	6
906	6
907	6
908	6
909	6
910	0
911	0
912	0
913	0
914	1
915	1
916	1
917	1
918	4
919	4
920	4
921	4
922	4
923	4
924	4
925	4
926	4
927	4
928	4
929	4
930	4
931	4
932	4
933	4
934	4
935	4
936	4
937	4
938	4
939	4
940	5
941	5
942	5
943	5
944	5
945	5
946	5
947	2
948	2
949	2
950	2
951	2
952	2
953	2
954	2
955	2
956	2
957	2
958	2
959	2
960	5
961	5
962	5
963	5
964	5
965	5
966	5
967	5
968	5
969	5
970	2
971	2
972	2
973	2
974	19
975	19
976	19
977	19
978	19
979	19
980	14
981	14
982	14
983	14
984	14
985	14
986	14
987	14
988	14
989	14
990	14
991	14
992	14
993	14
994	14
995	16
996	16
997	16
998	16
999	16
1000	16
1001	16
1002	16
1003	16
1004	16
1005	16
1006	16
1007	16
1008	16
1009	7
1010	7
1011	7
1012	7
1013	7
1014	7
1015	7
1016	7
1017	7
1018	7
1019	7
1020	7
1021	7
1022	7
1023	7
1024	7
1025	12
1026	12
1027	12
1028	12
1029	12
1030	12
1031	13
1032	13
1033	13
1034	13
1035	13
1036	14
1037	14
1038	14
1039	14
1040	14
1041	14
1042	14
1043	17
1044	17
1045	17
1046	5
1047	5
1048	5
1049	5
1050	5
1051	5
1052	5
1053	12
1054	12
1055	12
1056	12
1057	7
1058	7
1059	7
1060	7
1061	7
1062	7
1063	7
1064	7
1065	7
1066	7
1067	7
1068	7
1069	7
1070	7
1071	11
1072	11
1073	11
1074	11
1075	11
1076	11
1077	11
1078	11
1079	11
1080	11
1081	11
1082	11
1083	11
1084	11
1085	11
1086	11
1087	11
1088	11
1089	11
1090	11
1091	11
1092	11
1093	11
1094	11
1095	9
1096	9
1097	9
1098	9
1099	9
1100	5
1101	5
1102	5
1103	5
1104	5
1105	5
1106	5
1107	20
1108	20
1109	20
1110	20
1111	20
1112	20
1113	20
1114	1
1115	1
1116	1
1117	1
1118	1
1119	1
1120	7
1121	7
1122	7
1123	11
1124	11
1125	11
1126	8
1127	8
1128	8
1129	8
1130	8
1131	8
1132	17
1133	17
1134	17
1135	17
1136	17
1137	17
1138	19
1139	19
1140	19
1141	15
1142	15
1143	15
1144	15
1145	15
1146	15
1147	0
1148	0
1149	0
1150	0
1151	3
1152	3
1153	3
1154	3
1155	3
1156	2
1157	2
1158	2
1159	2
1160	2
1161	2
1162	2
1163	2
1164	2
1165	2
1166	2
1167	7
1168	7
1169	7
1170	7
1171	7
1172	7
1173	7
1174	7
1175	7
1176	5
1177	5
1178	5
1179	16
1180	16
1181	16
1182	16
1183	5
1184	5
1185	5
1186	7
