country_region_code	country_region	place_id	date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
HU	Hungary	Budapest	15.2.2020	12	5	40	14	3	-2
HU	Hungary	Budapest	16.2.2020	10	8	39	15	2	-3
HU	Hungary	Budapest	17.2.2020	6	5	28	5	3	-1
HU	Hungary	Budapest	18.2.2020	4	6	31	5	3	-1
HU	Hungary	Budapest	19.2.2020	3	3	17	2	3	-1
HU	Hungary	Budapest	20.2.2020	5	3	18	5	3	-1
HU	Hungary	Budapest	21.2.2020	2	2	1	1	2	0
HU	Hungary	Budapest	22.2.2020	3	2	32	9	3	-2
HU	Hungary	Budapest	23.2.2020	4	5	16	8	2	-2
HU	Hungary	Budapest	24.2.2020	2	6	32	2	3	0
HU	Hungary	Budapest	25.2.2020	3	10	52	5	3	-1
HU	Hungary	Budapest	26.2.2020	-2	9	8	-1	2	0
HU	Hungary	Budapest	27.2.2020	2	14	5	2	2	0
HU	Hungary	Budapest	28.2.2020	0	8	-3	0	2	0
HU	Hungary	Budapest	29.2.2020	-1	3	7	4	6	-1
HU	Hungary	Budapest	1.3.2020	-2	2	3	4	2	-1
HU	Hungary	Budapest	2.3.2020	-2	3	19	2	3	0
HU	Hungary	Budapest	3.3.2020	-2	4	6	0	3	0
HU	Hungary	Budapest	4.3.2020	2	5	4	0	3	0
HU	Hungary	Budapest	5.3.2020	2	7	17	3	3	0
HU	Hungary	Budapest	6.3.2020	-3	3	-18	-2	0	1
HU	Hungary	Budapest	7.3.2020	3	9	4	3	4	-1
HU	Hungary	Budapest	8.3.2020	7	18	15	8	4	-3
HU	Hungary	Budapest	9.3.2020	1	6	22	0	3	0
HU	Hungary	Budapest	10.3.2020	2	12	29	2	2	0
HU	Hungary	Budapest	11.3.2020	-2	21	9	-3	0	1
HU	Hungary	Budapest	12.3.2020	-5	24	30	-7	-3	2
HU	Hungary	Budapest	13.3.2020	-16	25	-13	-19	-9	5
HU	Hungary	Budapest	14.3.2020	-28	18	-16	-25	-2	3
HU	Hungary	Budapest	15.3.2020	-58	-75	3	-31	-19	4
HU	Hungary	Budapest	16.3.2020	-25	29	-13	-39	-31	13
HU	Hungary	Budapest	17.3.2020	-45	9	-4	-49	-42	18
HU	Hungary	Budapest	18.3.2020	-51	0	-14	-54	-48	20
HU	Hungary	Budapest	19.3.2020	-56	-12	-22	-57	-51	22
HU	Hungary	Budapest	20.3.2020	-58	-17	-28	-59	-51	23
HU	Hungary	Budapest	21.3.2020	-67	-28	-66	-62	-30	14
HU	Hungary	Budapest	22.3.2020	-71	-34	-64	-67	-33	13
HU	Hungary	Budapest	23.3.2020	-66	-34	-67	-69	-57	27
HU	Hungary	Budapest	24.3.2020	-64	-28	-51	-68	-59	27
HU	Hungary	Budapest	25.3.2020	-66	-31	-59	-69	-59	28
HU	Hungary	Budapest	26.3.2020	-64	-29	-48	-67	-59	28
HU	Hungary	Budapest	27.3.2020	-57	-12	-33	-62	-56	24
HU	Hungary	Budapest	28.3.2020	-74	-39	-50	-67	-38	15
HU	Hungary	Budapest	29.3.2020	-74	-40	-38	-67	-39	12
HU	Hungary	Budapest	30.3.2020	-67	-36	-57	-70	-60	28
HU	Hungary	Budapest	31.3.2020	-66	-31	-41	-68	-60	27
HU	Hungary	Budapest	1.4.2020	-65	-31	-32	-66	-60	27
HU	Hungary	Budapest	2.4.2020	-65	-28	-38	-66	-60	27
HU	Hungary	Budapest	3.4.2020	-63	-24	-35	-65	-59	27
HU	Hungary	Budapest	4.4.2020	-66	-25	-34	-62	-36	13
HU	Hungary	Budapest	5.4.2020	-67	-28	-26	-62	-36	11
HU	Hungary	Budapest	6.4.2020	-60	-26	-27	-66	-59	26
HU	Hungary	Budapest	7.4.2020	-59	-18	-17	-65	-60	25
HU	Hungary	Budapest	8.4.2020	-58	-8	-22	-65	-59	24
HU	Hungary	Budapest	9.4.2020	-52	9	-30	-62	-61	23
HU	Hungary	Budapest	10.4.2020	-87	-87	-42	-80	-88	36
HU	Hungary	Budapest	11.4.2020	-65	-10	-49	-64	-42	13
HU	Hungary	Budapest	12.4.2020	-85	-86	-40	-70	-47	12
HU	Hungary	Budapest	13.4.2020	-88	-90	-35	-82	-91	35
HU	Hungary	Budapest	14.4.2020	-60	-20	-47	-68	-60	25
HU	Hungary	Budapest	15.4.2020	-60	-23	-32	-66	-59	25
HU	Hungary	Budapest	16.4.2020	-60	-23	-31	-65	-58	25
HU	Hungary	Budapest	17.4.2020	-60	-21	-29	-64	-57	24
HU	Hungary	Budapest	18.4.2020	-66	-28	-35	-58	-29	11
HU	Hungary	Budapest	19.4.2020	-70	-34	-50	-66	-33	11
HU	Hungary	Budapest	20.4.2020	-61	-31	-22	-65	-57	24
HU	Hungary	Budapest	21.4.2020	-61	-27	-15	-64	-57	24
HU	Hungary	Budapest	22.4.2020	-61	-29	-15	-65	-57	24
HU	Hungary	Budapest	23.4.2020	-62	-27	-20	-65	-57	24
HU	Hungary	Budapest	24.4.2020	-62	-25	-26	-64	-56	23
HU	Hungary	Budapest	25.4.2020	-67	-27	-43	-60	-30	11
HU	Hungary	Budapest	26.4.2020	-65	-29	-27	-60	-28	8
HU	Hungary	Budapest	27.4.2020	-61	-32	-23	-65	-56	24
HU	Hungary	Budapest	28.4.2020	-60	-27	-6	-63	-56	21
HU	Hungary	Budapest	29.4.2020	-61	-26	-35	-65	-56	24
HU	Hungary	Budapest	30.4.2020	-54	-4	-18	-60	-56	21
HU	Hungary	Budapest	1.5.2020	-86	-89	-38	-80	-87	34
HU	Hungary	Budapest	2.5.2020	-61	-17	-32	-57	-31	9
HU	Hungary	Budapest	3.5.2020	-62	-24	-39	-56	-23	6
HU	Hungary	Budapest	4.5.2020	-57	-30	-14	-62	-53	22
HU	Hungary	Budapest	5.5.2020	-57	-25	-20	-62	-54	22
HU	Hungary	Budapest	6.5.2020	-58	-26	-28	-62	-53	23
HU	Hungary	Budapest	7.5.2020	-57	-23	-25	-60	-53	22
HU	Hungary	Budapest	8.5.2020	-56	-19	-16	-59	-52	20
HU	Hungary	Budapest	9.5.2020	-60	-22	-19	-52	-22	7
HU	Hungary	Budapest	10.5.2020	-60	-27	-18	-54	-19	5
HU	Hungary	Budapest	11.5.2020	-55	-25	-19	-60	-52	21
HU	Hungary	Budapest	12.5.2020	-55	-21	-26	-59	-53	22
HU	Hungary	Budapest	13.5.2020	-57	-23	-38	-61	-52	22
