Name	Code
Anas	cf522e02-35cc-44f5-841c-0e642987c2e4
Columba	3644ff17-3cd1-4c98-afdb-91113d4e2cca
Corvus	2db31c7c-b0a9-460f-807e-da9181f21cf6
Dendrocopos	ddd5783c-ded5-48f2-a07d-cc37c83b227b
Erithacus	3c4ef873-76b5-473d-a740-8fcb4864462b
Fringilla	0b72dd38-2dc1-4675-990e-a46259855ce1
Garrulus	d1f1314f-51bf-433c-80c8-e83208ce856a
Larus	35f902d0-c82d-40d5-8c9b-42a76223edc2
Motacilla	514adb3b-bf61-41f3-bd39-bc6207241a77
Parus	dfdfb59e-8126-44e1-a7a9-1bf698113e1c
Passer	3a4cdd72-e553-40ad-838e-3b23037b2010
Phoenicurus	3d604f1c-43a0-45ca-beb9-35c632ef79a6
Pica	4405e154-34c5-42df-a996-fc8329b08c34
Picus	092f230e-ed1c-4a61-ad1d-31f47349f438
Sitta	37d8a98a-a87c-4ddd-8e1c-00a7dc1f47c6
Sturnus	4f25df70-f5e0-410b-822c-a229e24d4546
Sylvia	67a9ecfd-58ba-44a4-9986-243b6e610419
Turdus	fc1d469f-e1d7-47f2-a796-38bdebd62d2c
other	2236b809-b54a-45a2-932f-47b2ca4b8b7e
