Species	Family	Order
Acanthiza chrysorrhoa	Acanthizidae	Passeriformes
Accipiter gentilis	Accipitridae	Accipitriformes
Accipiter nisus	Accipitridae	Accipitriformes
Acridotheres tristis	Sturnidae	Passeriformes
Acrocephalus arundinaceus	Acrocephalidae	Passeriformes
Acrocephalus stentoreus	Acrocephalidae	Passeriformes
Aegithalos caudatus	Aegithalidae	Passeriformes
Alauda arvensis	Alaudidae	Passeriformes
Alisterus scapularis	Psittaculidae	Psittaciformes
Anas castanea	Anatidae	Anseriformes
Anas gracilis	Anatidae	Anseriformes
Anas penelope	Anatidae	Anseriformes
Anas platyrhynchos	Anatidae	Anseriformes
Anas superciliosa	Anatidae	Anseriformes
Anthochaera carunculata	Meliphagidae	Passeriformes
Anthochaera chrysoptera	Meliphagidae	Passeriformes
Anthus novaeseelandiae	Motacillidae	Passeriformes
Ardea pacifica	Ardeidae	Pelecaniformes
Artamus cyanopterus	Artamidae	Passeriformes
Aythya fuligula	Anatidae	Anseriformes
Bucephala clangula	Anatidae	Anseriformes
Buteo buteo	Accipitridae	Accipitriformes
Cacatua galerita	Cacatuidae	Psittaciformes
Cacatua roseicapilla	Cacatuidae	Psittaciformes
Cacatua sanguinea	Cacatuidae	Psittaciformes
Cacatua tenuirostris	Cacatuidae	Psittaciformes
Calidris acuminata	Scolopacidae	Charadriiformes
Calidris ruficollis	Scolopacidae	Charadriiformes
Callocephalon fimbriatum	Cacatuidae	Psittaciformes
Carduelis cannabina	Fringillidae	Passeriformes
Carduelis carduelis	Fringillidae	Passeriformes
Carduelis flammea	Fringillidae	Passeriformes
Carduelis chloris	Fringillidae	Passeriformes
Carduelis spinus	Fringillidae	Passeriformes
Certhia brachydactyla	Certhiidae	Passeriformes
Certhia familiaris	Certhiidae	Passeriformes
Cisticola exilis	Cisticolidae	Passeriformes
Coccothraustes coccothraustes	Fringillidae	Passeriformes
Columba livia	Columbidae	Columbiformes
Columba oenas	Columbidae	Columbiformes
Columba palumbus	Columbidae	Columbiformes
Corcorax melanorhamphos	Corcoracidae	Passeriformes
Corvus corax	Corvidae	Passeriformes
Corvus corone	Corvidae	Passeriformes
Corvus frugilegus	Corvidae	Passeriformes
Corvus mellori	Corvidae	Passeriformes
Corvus monedula	Corvidae	Passeriformes
Cracticus torquatus	Artamidae	Passeriformes
Cygnus atratus	Anatidae	Anseriformes
Cygnus olor	Anatidae	Anseriformes
Dacelo novaeguineae	Alcedinidae	Coraciiformes
Dendrocopos major	Picidae	Piciformes
Dendrocopos medius	Picidae	Piciformes
Dendrocopos syriacus	Picidae	Piciformes
Dryocopus martius	Picidae	Piciformes
Egretta novaehollandiae	Ardeidae	Pelecaniformes
Elanus axillaris	Accipitridae	Accipitriformes
Emberiza citrinella	Emberizidae	Passeriformes
Eopsaltria australis	Petroicidae	Passeriformes
Epthianura albifrons	Meliphagidae	Passeriformes
Erithacus rubecula	Muscicapidae	Passeriformes
Falco tinnunculus	Falconidae	Falconiformes
Ficedula hypoleuca	Muscicapidae	Passeriformes
Fringilla coelebs	Fringillidae	Passeriformes
Fulica atra	Rallidae	Gruiformes
Gallinago hardwickii	Scolopacidae	Charadriiformes
Gallinula chloropus	Scolopacidae	Charadriiformes
Gallinula tenebrosa	Scolopacidae	Charadriiformes
Gallirallus philippensis	Rallidae	Gruiformes
Garrulus glandarius	Corvidae	Passeriformes
Grallina cyanoleuca	Monarchidae	Passeriformes
Gymnorhina tibicen	Artamidae	Passeriformes
Haematopus ostralegus	Haematopodidae	Charadriiformes
Himantopus himantopus	Recurvirostridae	Charadriiformes
Hippolais icterina	Acrocephalidae	Passeriformes
Hirundo neoxena	Hirundinidae	Passeriformes
Chenonetta jubata	Anatidae	Anseriformes
Larus argentatus	Laridae	Charadriiformes
Larus canus	Laridae	Charadriiformes
Larus novaehollandiae	Laridae	Charadriiformes
Larus ridibundus	Laridae	Charadriiformes
Lichenostomus penicillatus	Meliphagidae	Passeriformes
Lichenostomus virescens	Meliphagidae	Passeriformes
Loxia curvirostra	Fringillidae	Passeriformes
Luscinia megarhynchos	Muscicapidae	Passeriformes
Malurus cyaneus	Maluridae	Passeriformes
Manorina melanocephala	Meliphagidae	Passeriformes
Mergus merganser	Anatidae	Anseriformes
Motacilla alba	Motacillidae	Passeriformes
Motacilla cinerea	Motacillidae	Passeriformes
Motacilla flava	Motacillidae	Passeriformes
Muscicapa striata	Muscicapidae	Passeriformes
Neochmia temporalis	Estrildidae	Passeriformes
Nucifraga caryocatactes	Corvidae	Passeriformes
Ocyphaps lophotes	Columbidae	Columbiformes
Oriolus oriolus	Oriolidae	Passeriformes
Pardalotus punctatus	Pardalotidae	Passeriformes
Parus ater	Paridae	Passeriformes
Parus caeruleus	Paridae	Passeriformes
Parus major	Paridae	Passeriformes
Parus palustris	Paridae	Passeriformes
Passer domesticus	Passeridae	Passeriformes
Passer montanus	Passeridae	Passeriformes
Pelecanus conspicillatus	Pelecanidae	Pelecaniformes
Phalacrocorax melanoleucos	Phalacrocoracidae	Suliformes
Phalacrocorax sulcirostris	Phalacrocoracidae	Suliformes
Phaps chalcoptera	Columbidae	Columbiformes
Phasianus colchicus	Phasianidae	Galliformes
Phoenicurus ochruros	Muscicapidae	Passeriformes
Phoenicurus phoenicurus	Muscicapidae	Passeriformes
Phylidonyris novaehollandiae	Meliphagidae	Passeriformes
Phylloscopus collybita	Phylloscopidae	Passeriformes
Phylloscopus sibilatrix	Phylloscopidae	Passeriformes
Phylloscopus trochilus	Phylloscopidae	Passeriformes
Pica pica	Corvidae	Passeriformes
Picus viridis	Picidae	Piciformes
Platalea regia	Threskiornithidae	Pelecaniformes
Platycercus elegans	Psittaculidae	Psittaciformes
Platycercus eximius	Psittaculidae	Psittaciformes
Podargus strigoides	Podargidae	Caprimulgiformes
Porphyrio porphyrio	Rallidae	Gruiformes
Psephotus haematonotus	Psittaculidae	Psittaciformes
Psophodes olivaceus	Psophodidae	Passeriformes
Rhipidura fuliginosa	Rhipiduridae	Passeriformes
Rhipidura leucophrys	Rhipiduridae	Passeriformes
Sericornis frontalis	Acanthizidae	Passeriformes
Serinus serinus	Fringillidae	Passeriformes
Sitta europaea	Sittidae	Passeriformes
Stictonetta naevosa	Anatidae	Anseriformes
Stigmatopelia chinensis	Columbidae	Columbiformes
Strepera graculina	Artamidae	Passeriformes
Streptopelia decaocto	Columbidae	Columbiformes
Sturnus vulgaris	Sturnidae	Passeriformes
Sylvia atricapilla	Sylviidae	Passeriformes
Sylvia communis	Sylviidae	Passeriformes
Sylvia curruca	Sylviidae	Passeriformes
Threskiornis molucca	Threskiornithidae	Pelecaniformes
Todiramphus sanctus	Alcedinidae	Coraciiformes
Trichoglossus haematodus	Psittaculidae	Psittaciformes
Troglodytes troglodytes	Troglodytidae	Passeriformes
Turdus iliacus	Turdidae	Passeriformes
Turdus merula	Turdidae	Passeriformes
Turdus philomelos	Turdidae	Passeriformes
Turdus pilaris	Turdidae	Passeriformes
Turdus viscivorus	Turdidae	Passeriformes
Vanellus miles	Charadriidae	Charadriiformes
Zosterops lateralis	Zosteropidae	Passeriformes
