model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table 1a,Period,Gaussian,6369,fixed,(Intercept),0.062,-0.179,0.324,"",""
"","","","",fixed,scale(log(SD)),0.478,0.454,0.502,"",""
"","","","",fixed,scale(log(FlockSize)),-0.007,-0.026,0.012,"",""
"","","","",fixed,scale(log(BodyMass)),0.047,-0.017,0.114,"",""
"","","","",fixed,scale(sin(rad)),0.019,-0.01,0.046,"",""
"","","","",fixed,scale(cos(rad)),0.029,0.007,0.051,"",""
"","","","",fixed,scale(Temp),-0.001,-0.03,0.028,"",""
"","","","",fixed,scale(Covid),-0.054,-0.23,0.122,"",""
"","","","",random %,sp_day_year (Intercept),12%,6%,15%,"",""
"","","","",random %,sp_loc (Intercept),0%,-1%,1%,"",""
"","","","",random %,sp_loc scale(Covid),0%,-1%,1%,"",""
"","","","",random %,IDLocality (Intercept),2%,0%,4%,"",""
"","","","",random %,IDLocality scale(Covid),2%,0%,4%,"",""
"","","","",random %,Species (Intercept),0%,-1%,7%,"",""
"","","","",random %,Species scale(Covid),0%,-1%,7%,"",""
"","","","",random %,genus (Intercept),0%,0%,5%,"",""
"","","","",random %,genus scale(Covid),0%,0%,5%,"",""
"","","","",random %,Country (Intercept),1%,-7%,7%,"",""
"","","","",random %,Country scale(Covid),1%,-7%,7%,"",""
"","","","",random %,Year (Intercept),4%,2%,4%,"",""
"","","","",random %,Residual,79%,40%,99%,"",""
Table 1b,Period,Gaussian,6369,fixed,(Intercept),0.018,-0.132,0.177,"",""
"","","","",fixed,scale(log(SD)),0.493,0.47,0.518,"",""
"","","","",fixed,scale(log(FlockSize)),-0.018,-0.037,0,"",""
"","","","",fixed,scale(log(BodyMass)),0.024,-0.007,0.054,"",""
"","","","",fixed,scale(sin(rad)),0.011,-0.017,0.04,"",""
"","","","",fixed,scale(cos(rad)),0.028,0.005,0.051,"",""
"","","","",fixed,scale(Temp),-0.004,-0.033,0.026,"",""
"","","","",fixed,scale(Covid),-0.047,-0.219,0.125,"",""
"","","","",random %,sp_day_year (Intercept),13%,8%,14%,"",""
"","","","",random %,sp_loc (Intercept),1%,0%,12%,"",""
"","","","",random %,sp_loc scale(Covid),1%,0%,12%,"",""
"","","","",random %,IDLocality (Intercept),2%,1%,5%,"",""
"","","","",random %,IDLocality scale(Covid),2%,1%,5%,"",""
"","","","",random %,Species scale(Covid),1%,1%,1%,"",""
"","","","",random %,genus scale(Covid),0%,0%,0%,"",""
"","","","",random %,Country (Intercept),1%,-3%,4%,"",""
"","","","",random %,Country scale(Covid),1%,-3%,4%,"",""
"","","","",random %,Year (Intercept),3%,2%,4%,"",""
"","","","",random %,Residual,77%,46%,88%,"",""
Table 1c,Period,Gaussian,6369,fixed,(Intercept),0.087,-0.114,0.285,"",""
"","","","",fixed,scale(log(SD)),0.476,0.452,0.5,"",""
