model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S1 - 1a,Period,Gaussian,6369,fixed,(Intercept),0.063,-0.19,0.314,"",""
"","","","",fixed,scale(log(SD)),0.478,0.455,0.503,"",""
"","","","",fixed,scale(log(FlockSize)),-0.007,-0.026,0.012,"",""
"","","","",fixed,scale(log(BodyMass)),0.046,-0.02,0.114,"",""
"","","","",fixed,scale(sin(rad)),0.019,-0.009,0.046,"",""
"","","","",fixed,scale(cos(rad)),0.029,0.006,0.051,"",""
"","","","",fixed,scale(Temp),-0.001,-0.03,0.029,"",""
"","","","",fixed,scale(Covid),-0.053,-0.224,0.126,"",""
"","","","",random %,sp_day_year (Intercept),12%,6%,15%,"",""
"","","","",random %,sp_loc (Intercept),0%,-1%,1%,"",""
"","","","",random %,sp_loc scale(Covid),0%,-1%,1%,"",""
"","","","",random %,IDLocality (Intercept),2%,0%,4%,"",""
"","","","",random %,IDLocality scale(Covid),2%,0%,4%,"",""
"","","","",random %,Species (Intercept),0%,-1%,7%,"",""
"","","","",random %,Species scale(Covid),0%,-1%,7%,"",""
"","","","",random %,genus (Intercept),0%,0%,5%,"",""
"","","","",random %,genus scale(Covid),0%,0%,5%,"",""
"","","","",random %,Country (Intercept),1%,-7%,7%,"",""
"","","","",random %,Country scale(Covid),1%,-7%,7%,"",""
"","","","",random %,Year (Intercept),3%,2%,4%,"",""
"","","","",random %,Residual,79%,40%,98%,"",""
Table S1 - 1b,Period,Gaussian,6369,fixed,(Intercept),0.016,-0.138,0.177,"",""
"","","","",fixed,scale(log(SD)),0.493,0.469,0.518,"",""
"","","","",fixed,scale(log(FlockSize)),-0.018,-0.037,0,"",""
"","","","",fixed,scale(log(BodyMass)),0.024,-0.007,0.055,"",""
"","","","",fixed,scale(sin(rad)),0.011,-0.017,0.04,"",""
"","","","",fixed,scale(cos(rad)),0.027,0.005,0.051,"",""
"","","","",fixed,scale(Temp),-0.004,-0.034,0.026,"",""
"","","","",fixed,scale(Covid),-0.045,-0.213,0.122,"",""
"","","","",random %,sp_day_year (Intercept),13%,8%,14%,"",""
"","","","",random %,sp_loc (Intercept),1%,0%,12%,"",""
"","","","",random %,sp_loc scale(Covid),1%,0%,12%,"",""
"","","","",random %,IDLocality (Intercept),2%,1%,5%,"",""
"","","","",random %,IDLocality scale(Covid),2%,1%,5%,"",""
