model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S1b - full a,Escape distance,Gaussian,3644,fixed,(Intercept),0.024,-0.095,0.145,"",""
"","","","",fixed,year,0.018,-0.023,0.06,"",""
"","","","",fixed,starting distance (ln)),0.499,0.467,0.532,"",""
"","","","",fixed,flock size (ln),-0.002,-0.028,0.024,"",""
"","","","",fixed,body mass (ln),0.025,-0.042,0.09,"",""
"","","","",fixed,time (sine of radians),-0.009,-0.05,0.031,"",""
"","","","",fixed,time (cosine of radians),0.011,-0.022,0.044,"",""
"","","","",fixed,temperature,0.022,-0.018,0.059,"",""
"","","","",fixed,Google Mobility,-0.102,-0.23,0.029,"",""
"","","","",random,species within day & year (Intercept),6%,5%,6%,"",""
"","","","",random,species within site (Intercept),5%,4%,5%,"",""
"","","","",random,species (Intercept),7%,7%,8%,"",""
"","","","",random,site (Intercept),9%,8%,10%,"",""
"","","","",random,genus (Intercept),3%,3%,4%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),1%,-3%,4%,"",""
"","","","",random,country Google Mobility,1%,-3%,4%,"",""
"","","","",random,Residual,68%,61%,78%,"",""
Table S1b - full b,Escape distance,Gaussian,3644,fixed,(Intercept),0.096,-0.119,0.311,"",""
"","","","",fixed,year,0.07,0.02,0.12,"",""
"","","","",fixed,flock size (ln),0.012,-0.017,0.041,"",""
"","","","",fixed,body mass (ln),0.132,0.046,0.217,"",""
"","","","",fixed,time (sine of radians),0.061,0.014,0.109,"",""
"","","","",fixed,time (cosine of radians),0.075,0.037,0.111,"",""
"","","","",fixed,temperature,0.039,-0.005,0.083,"",""
"","","","",fixed,Google Mobility,-0.119,-0.295,0.06,"",""
"","","","",random,species within day & year (Intercept),7%,5%,9%,"",""
"","","","",random,species within site (Intercept),6%,5%,7%,"",""
"","","","",random,species (Intercept),11%,10%,12%,"",""
"","","","",random,site (Intercept),12%,11%,13%,"",""
"","","","",random,genus (Intercept),4%,4%,5%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),1%,-13%,9%,"",""
"","","","",random,country Google Mobility,1%,-13%,9%,"",""
"","","","",random,Residual,59%,46%,79%,"",""
Table S1b - FI a,Escape distance,Gaussian,322,fixed,(Intercept),0.023,-0.185,0.227,"",""
"","","","",fixed,year,0.132,-0.004,0.271,"",""
"","","","",fixed,starting distance (ln)),0.195,0.09,0.3,"",""
"","","","",fixed,flock size (ln),-0.118,-0.22,-0.017,"",""
"","","","",fixed,body mass (ln),0.24,0.082,0.39,"",""
"","","","",fixed,time (sine of radians),0.132,-0.008,0.271,"",""
"","","","",fixed,time (cosine of radians),0.044,-0.08,0.165,"",""
"","","","",fixed,temperature,-0.005,-0.136,0.13,"",""
"","","","",fixed,Google Mobility,-0.099,-0.239,0.034,"",""
"","","","",random,species within site (Intercept),13%,12%,13%,"",""
"","","","",random,species within day & year (Intercept),3%,2%,3%,"",""
"","","","",random,site (Intercept),16%,13%,19%,"",""
"","","","",random,species (Intercept),0%,0%,0%,"",""
"","","","",random,genus (Intercept),2%,1%,4%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,66%,62%,71%,"",""
Table S1b - FI b,Escape distance,Gaussian,322,fixed,(Intercept),-0.003,-0.231,0.223,"",""
"","","","",fixed,year,0.151,0.011,0.289,"",""
"","","","",fixed,flock size (ln),-0.113,-0.217,-0.006,"",""
"","","","",fixed,body mass (ln),0.319,0.164,0.482,"",""
"","","","",fixed,time (sine of radians),0.121,-0.028,0.266,"",""
"","","","",fixed,time (cosine of radians),0.032,-0.091,0.156,"",""
"","","","",fixed,temperature,-0.018,-0.157,0.118,"",""
"","","","",fixed,Google Mobility,-0.086,-0.226,0.056,"",""
"","","","",random,species within site (Intercept),15%,14%,15%,"",""
"","","","",random,species within day & year (Intercept),3%,3%,3%,"",""
"","","","",random,site (Intercept),17%,14%,20%,"",""
"","","","",random,species (Intercept),0%,0%,0%,"",""
"","","","",random,genus (Intercept),3%,1%,4%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,62%,58%,67%,"",""
Table S1b - PL a,Escape distance,Gaussian,329,fixed,(Intercept),0.031,-0.194,0.253,"",""
"","","","",fixed,year,-0.245,-0.406,-0.088,"",""
"","","","",fixed,starting distance (ln)),0.533,0.446,0.616,"",""
"","","","",fixed,flock size (ln),-0.03,-0.113,0.047,"",""
"","","","",fixed,body mass (ln),-0.084,-0.194,0.025,"",""
"","","","",fixed,time (sine of radians),0.138,-0.133,0.402,"",""
"","","","",fixed,time (cosine of radians),-0.253,-0.512,0.013,"",""
"","","","",fixed,temperature,-0.2,-0.302,-0.096,"",""
"","","","",fixed,Google Mobility,-0.002,-0.142,0.14,"",""
"","","","",random,species within day & year (Intercept),7%,6%,6%,"",""
"","","","",random,species (Intercept),8%,6%,10%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),10%,5%,16%,"",""
"","","","",random,Residual,75%,67%,82%,"",""
Table S1b - PL b,Escape distancey,Gaussian,329,fixed,(Intercept),0.017,-0.233,0.272,"",""
"","","","",fixed,year,-0.4,-0.587,-0.22,"",""
"","","","",fixed,flock size (ln),0.053,-0.043,0.147,"",""
"","","","",fixed,body mass (ln),-0.012,-0.163,0.145,"",""
"","","","",fixed,time (sine of radians),-0.021,-0.34,0.29,"",""
"","","","",fixed,time (cosine of radians),-0.09,-0.401,0.23,"",""
"","","","",fixed,temperature,-0.191,-0.314,-0.071,"",""
"","","","",fixed,Google Mobility,0.044,-0.12,0.202,"",""
"","","","",random,species within day & year (Intercept),5%,4%,5%,"",""
"","","","",random,species (Intercept),21%,16%,25%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),5%,2%,8%,"",""
"","","","",random,Residual,70%,63%,77%,"",""
Table S1b - CZ a,Escape distance,Gaussian,1054,fixed,(Intercept),0.228,0.021,0.431,"",""
"","","","",fixed,starting distance (ln)),0.344,0.284,0.404,"",""
"","","","",fixed,flock size (ln),0.009,-0.041,0.059,"",""
"","","","",fixed,body mass (ln),0.184,0.023,0.345,"",""
"","","","",fixed,time (sine of radians),0.062,-0.008,0.13,"",""
"","","","",fixed,time (cosine of radians),0.035,-0.021,0.091,"",""
"","","","",fixed,temperature,0.065,-0.007,0.137,"",""
"","","","",fixed,Google Mobility,-0.091,-0.167,-0.019,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random,species (Intercept),14%,12%,17%,"",""
"","","","",random,genus (Intercept),13%,10%,17%,"",""
"","","","",random,site (Intercept),5%,4%,7%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,62%,54%,69%,"",""
Table S1b - CZ b,Escape distance,Gaussian,1054,fixed,(Intercept),0.227,0.02,0.434,"",""
"","","","",fixed,starting distance (ln)),0.344,0.284,0.404,"",""
"","","","",fixed,flock size (ln),0.01,-0.042,0.059,"",""
"","","","",fixed,body mass (ln),0.187,0.029,0.34,"",""
"","","","",fixed,time (sine of radians),0.062,-0.007,0.129,"",""
