model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S1c - full a,Escape distance,Gaussian,3676,fixed,(Intercept),-0.079,-0.335,0.183
"","","","",fixed,year,0.02,-0.028,0.066
"","","","",fixed,starting distance (ln)),0.492,0.459,0.524
"","","","",fixed,flock size (ln),-0.003,-0.029,0.023
"","","","",fixed,body mass (ln),0.022,-0.044,0.09
"","","","",fixed,time (sine of radians),-0.02,-0.06,0.022
"","","","",fixed,time (cosine of radians),-0.005,-0.04,0.032
"","","","",fixed,temperature,-0.007,-0.049,0.034
"","","","",fixed,Stringency index,0.014,-0.15,0.181
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),5%,3%,6%
"","","","",random,species (Intercept),7%,6%,9%
"","","","",random,site (Intercept),8%,7%,9%
"","","","",random,genus (Intercept),4%,4%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),2%,-16%,16%
"","","","",random,Stringency index (slope) | country,2%,-16%,16%
"","","","",random,Residual,67%,45%,96%
Table S1c  - full b,Escape distance,Gaussian,3676,fixed,(Intercept),0.051,-0.098,0.199
"","","","",fixed,year,0.083,0.031,0.139
"","","","",fixed,flock size (ln),0.011,-0.02,0.039
"","","","",fixed,body mass (ln),0.14,0.052,0.225
"","","","",fixed,time (sine of radians),0.047,-0.001,0.095
"","","","",fixed,time (cosine of radians),0.05,0.009,0.089
"","","","",fixed,temperature,0.005,-0.042,0.053
"","","","",fixed,Stringency index,-0.002,-0.229,0.222
"","","","",random,species within day & year (Intercept),6%,5%,8%
"","","","",random,species within site (Intercept),5%,4%,6%
"","","","",random,species (Intercept),9%,9%,10%
"","","","",random,site (Intercept),13%,13%,14%
"","","","",random,genus (Intercept),5%,5%,6%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),3%,-8%,9%
"","","","",random,Stringency index (slope) | country,3%,-8%,9%
"","","","",random,Residual,55%,45%,73%
Table S1c  - FI a,Escape distance,Gaussian,354,fixed,(Intercept),0.031,-0.184,0.248
"","","","",fixed,year,-0.105,-0.338,0.126
"","","","",fixed,starting distance (ln)),0.19,0.082,0.293
"","","","",fixed,flock size (ln),-0.111,-0.21,-0.009
"","","","",fixed,body mass (ln),0.174,0.013,0.337
"","","","",fixed,time (sine of radians),0.06,-0.064,0.184
"","","","",fixed,time (cosine of radians),0.012,-0.112,0.137
"","","","",fixed,temperature,-0.086,-0.196,0.028
"","","","",fixed,Stringency index,0.152,-0.081,0.381
"","","","",random,species within site (Intercept),12%,12%,13%
"","","","",random,species within day & year (Intercept),3%,3%,3%
"","","","",random,site (Intercept),13%,10%,15%
"","","","",random,species (Intercept),0%,0%,1%
"","","","",random,genus (Intercept),3%,2%,5%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,68%,64%,73%
Table S1c  - FI b,Escape distance,Gaussian,354,fixed,(Intercept),-0.01,-0.223,0.209
"","","","",fixed,year,-0.07,-0.306,0.17
"","","","",fixed,flock size (ln),-0.106,-0.207,-0.003
"","","","",fixed,body mass (ln),0.247,0.085,0.416
"","","","",fixed,time (sine of radians),0.053,-0.072,0.184
"","","","",fixed,time (cosine of radians),0.005,-0.119,0.128
"","","","",fixed,temperature,-0.087,-0.202,0.032
"","","","",fixed,Stringency index,0.139,-0.1,0.373
"","","","",random,species within site (Intercept),14%,14%,15%
"","","","",random,species within day & year (Intercept),4%,3%,4%
"","","","",random,site (Intercept),14%,11%,16%
"","","","",random,species (Intercept),3%,2%,5%
"","","","",random,genus (Intercept),1%,1%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,63%,59%,69%
Table S1c  - PL a,Escape distance,Gaussian,329,fixed,(Intercept),0.029,-0.209,0.25
"","","","",fixed,year,-0.207,-0.474,0.067
