model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S1d - FI a,Escape distance,Gaussian,1019,fixed,(Intercept),-0.04,-0.315,0.229
"","","","",fixed,starting distance (ln),0.281,0.228,0.335
"","","","",fixed,flock size (ln),-0.049,-0.099,0.003
"","","","",fixed,body mass (ln),0.089,-0.072,0.25
"","","","",fixed,time (sine of radians),0.085,0.023,0.147
"","","","",fixed,time (cosine of radians),0.031,-0.026,0.089
"","","","",fixed,temperature,-0.079,-0.148,-0.01
"","","","",fixed,Period,-0.152,-0.335,0.028
"","","","",random,species within day & year (Intercept),10%,9%,11%
"","","","",random,species within site (Intercept),6%,5%,6%
"","","","",random,site (Intercept),1%,0%,3%
"","","","",random,Period (slope) | site,1%,0%,3%
"","","","",random,species (Intercept),4%,3%,4%
"","","","",random,genus (Intercept),10%,7%,14%
"","","","",random,weekday (Intercept),0%,0%,1%
"","","","",random,year (Intercept),6%,1%,11%
"","","","",random,Residual,61%,50%,72%
Table S1d - FI b,Escape distance,Gaussian,1019,fixed,(Intercept),-0.129,-0.464,0.216
"","","","",fixed,flock size (ln),-0.017,-0.072,0.037
"","","","",fixed,body mass (ln),0.198,0.025,0.378
"","","","",fixed,time (sine of radians),0.095,0.029,0.159
"","","","",fixed,time (cosine of radians),0.03,-0.03,0.092
"","","","",fixed,temperature,-0.076,-0.146,-0.003
"","","","",fixed,Period,-0.129,-0.364,0.112
"","","","",random,species within day & year (Intercept),9%,7%,10%
"","","","",random,species within site (Intercept),7%,6%,7%
"","","","",random,site (Intercept),1%,1%,2%
"","","","",random,Period (slope) | site,1%,1%,2%
"","","","",random,species (Intercept),7%,5%,8%
"","","","",random,genus (Intercept),10%,7%,13%
"","","","",random,weekday (Intercept),1%,0%,1%
"","","","",random,year (Intercept),9%,2%,16%
"","","","",random,Residual,56%,44%,68%
Table S1d - PL a,Escape distance,Gaussian,762,fixed,(Intercept),0.147,-0.112,0.41
"","","","",fixed,starting distance (ln),0.48,0.419,0.54
"","","","",fixed,flock size (ln),0.012,-0.043,0.068
"","","","",fixed,body mass (ln),-0.071,-0.174,0.031
"","","","",fixed,time (sine of radians),-0.035,-0.118,0.051
"","","","",fixed,time (cosine of radians),-0.011,-0.102,0.079
"","","","",fixed,temperature,-0.111,-0.184,-0.04
"","","","",fixed,Period,0.12,-0.111,0.358
"","","","",random,species within day & year (Intercept),8%,7%,9%
"","","","",random,species (Intercept),15%,13%,17%
"","","","",random,genus (Intercept),0%,0%,0%
"","","","",random,weekday (Intercept),0%,0%,1%
"","","","",random,year (Intercept),11%,4%,21%
"","","","",random,Residual,65%,54%,74%
Table S1d - PL b,Escape distance,Gaussian,762,fixed,(Intercept),0.247,-0.068,0.568
"","","","",fixed,flock size (ln),0.053,-0.006,0.116
"","","","",fixed,body mass (ln),0.046,-0.099,0.191
"","","","",fixed,time (sine of radians),-0.017,-0.113,0.082
"","","","",fixed,time (cosine of radians),0,-0.102,0.101
"","","","",fixed,temperature,-0.105,-0.186,-0.022
"","","","",fixed,Period,0.242,-0.019,0.491
"","","","",random,species within day & year (Intercept),11%,9%,12%
"","","","",random,species (Intercept),26%,23%,27%
"","","","",random,genus (Intercept),1%,1%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,year (Intercept),8%,1%,19%
"","","","",random,Residual,53%,43%,63%
Table S1d - CZ a,Escape distancey,Gaussian,2013,fixed,(Intercept),0.113,-0.253,0.471
"","","","",fixed,starting distance (ln),0.392,0.349,0.435
"","","","",fixed,flock size (ln),0.005,-0.029,0.038
"","","","",fixed,body mass (ln),0.172,0.03,0.3
"","","","",fixed,time (sine of radians),0.05,0.002,0.098
