model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S2b - 1a,Escape distance,Gaussian,3676,fixed,(Intercept),-0.077,-0.326,0.173
"","","","",fixed,year,0.02,-0.028,0.066
"","","","",fixed,starting distance (ln),0.492,0.459,0.524
"","","","",fixed,flock size (ln),-0.003,-0.029,0.024
"","","","",fixed,body mass (ln),0.023,-0.045,0.09
"","","","",fixed,time (sine of radians),-0.019,-0.061,0.022
"","","","",fixed,time (cosine of radians),-0.004,-0.04,0.032
"","","","",fixed,temperaturre,-0.007,-0.048,0.035
"","","","",fixed,stringency index,0.016,-0.153,0.175
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),5%,3%,6%
"","","","",random,species (Intercept),7%,6%,9%
"","","","",random,site (Intercept),8%,7%,9%
"","","","",random,genus (Intercept),4%,4%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),2%,-16%,16%
"","","","",random,stringency index (slope) | country,2%,-16%,16%
"","","","",random,Residual,67%,45%,96%
Table S2b - 1b,Escape distance,Gaussian,3676,fixed,(Intercept),-0.07,-0.334,0.178
"","","","",fixed,year,0.019,-0.029,0.067
"","","","",fixed,starting distance (ln),0.492,0.46,0.524
"","","","",fixed,flock size (ln),-0.003,-0.029,0.024
"","","","",fixed,body mass (ln),0.017,-0.05,0.084
"","","","",fixed,time (sine of radians),-0.019,-0.061,0.022
"","","","",fixed,time (cosine of radians),-0.004,-0.04,0.031
"","","","",fixed,temperaturre,-0.007,-0.049,0.036
"","","","",fixed,stringency index,0.006,-0.161,0.171
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),5%,3%,7%
"","","","",random,species (Intercept),7%,5%,8%
"","","","",random,site (Intercept),8%,6%,10%
"","","","",random,genus (Intercept),0%,-1%,4%
"","","","",random,stringency index (slope) | genus,0%,-1%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),2%,-15%,15%
"","","","",random,stringency index (slope) | country,2%,-15%,15%
"","","","",random,Residual,70%,44%,100%
Table S2b - 1c,Escape distance,Gaussian,3676,fixed,(Intercept),-0.107,-0.281,0.066
"","","","",fixed,year,-0.003,-0.052,0.045
"","","","",fixed,starting distance (ln),0.55,0.518,0.581
"","","","",fixed,flock size (ln),-0.023,-0.049,0.004
"","","","",fixed,body mass (ln),-0.024,-0.053,0.005
"","","","",fixed,time (sine of radians),-0.039,-0.081,0.004
"","","","",fixed,time (cosine of radians),0.005,-0.031,0.042
"","","","",fixed,temperaturre,0.004,-0.038,0.045
"","","","",fixed,stringency index,0.021,-0.133,0.179
"","","","",random,site (Intercept),11%,10%,11%
"","","","",random,country (Intercept),1%,-7%,8%
"","","","",random,stringency index (slope) | country,1%,-7%,8%
"","","","",random,Residual,88%,74%,103%
Table S2b - 2a,Escape distance,Gaussian,3573,fixed,(Intercept),-0.156,-0.445,0.137
"","","","",fixed,year,0.022,-0.026,0.072
"","","","",fixed,starting distance (ln),0.482,0.45,0.515
"","","","",fixed,flock size (ln),0.003,-0.024,0.03
"","","","",fixed,body mass (ln),-0.024,-0.101,0.051
"","","","",fixed,time (sine of radians),-0.019,-0.061,0.023
"","","","",fixed,time (cosine of radians),-0.007,-0.043,0.028
"","","","",fixed,temperaturre,-0.008,-0.05,0.035
"","","","",fixed,stringency index,0.018,-0.147,0.193
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),4%,3%,7%
"","","","",random,site (Intercept),7%,5%,9%
"","","","",random,species (Intercept),11%,8%,14%
"","","","",random,genus (Intercept),2%,2%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),3%,-22%,20%
"","","","",random,stringency index (slope) | country,3%,-22%,20%
"","","","",random,Residual,65%,39%,104%
Table S2b - 2b,Escape distance,Gaussian,3573,fixed,(Intercept),-0.154,-0.447,0.144
"","","","",fixed,year,0.021,-0.029,0.07
"","","","",fixed,starting distance (ln),0.484,0.452,0.517
"","","","",fixed,flock size (ln),0.003,-0.023,0.029
"","","","",fixed,body mass (ln),-0.031,-0.107,0.046
"","","","",fixed,time (sine of radians),-0.02,-0.06,0.023
"","","","",fixed,time (cosine of radians),-0.007,-0.043,0.029
"","","","",fixed,temperaturre,-0.008,-0.05,0.035
