model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S3a - FI,Google Mobility,Gaussian,322,fixed,(Intercept),-0.345,-1.16,0.463
"","","","",fixed,year,0.926,0.44,1.416
"","","","",fixed,Stringency index,-0.267,-1.015,0.545
"","","","",random,weekday within year (Intercept),13%,48%,53%
"","","","",random,Stringency index (slope) | weekday within year,13%,48%,53%
"","","","",random,Residual,74%,-7%,5%
Table S3a - PL,Google Mobility,Gaussian,329,fixed,(Intercept),0.016,-0.619,0.625
"","","","",fixed,year,0.779,0.014,1.508
"","","","",fixed,Stringency index,0.023,-0.354,0.399
"","","","",random,weekday within year (Intercept),47%,44%,49%
"","","","",random,Stringency index (slope) | weekday within year,47%,44%,49%
"","","","",random,Residual,6%,2%,13%
Table S3a - CZ,Google Mobility,Gaussian,1054,fixed,(Intercept),-0.004,-0.531,0.547
"","","","",fixed,Stringency index,-0.224,-0.634,0.196
"","","","",random,weekday (Intercept),23%,-152%,40%
"","","","",random,Stringency index (slope) | weekday,23%,-152%,40%
"","","","",random,Residual,54%,21%,404%
Table S3a - HU,Google Mobility,Gaussian,874,fixed,(Intercept),0.25,-0.265,0.772
"","","","",fixed,year,0.007,-0.461,0.482
"","","","",fixed,Stringency index,-1.259,-1.972,-0.57
"","","","",random,weekday within year (Intercept),48%,15%,49%
"","","","",random,Stringency index (slope) | weekday within year,48%,15%,49%
"","","","",random,Residual,4%,2%,71%
Table S3a - AU,Google Mobility,Gaussian,1065,fixed,(Intercept),0.525,-0.017,1.075
"","","","",fixed,year,0.445,0.241,0.656
"","","","",fixed,Stringency index,-0.543,-0.856,-0.234
"","","","",random,weekday within year (Intercept),-30%,43%,65%
"","","","",random,Stringency index (slope) | weekday within year,-30%,43%,65%
"","","","",random,Residual,160%,-30%,13%
