model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S3d - FI,# of humans (ln),Gaussian,322,fixed,(Intercept),-0.19,-0.443,0.054
"","","","",fixed,year,-0.027,-0.279,0.224
"","","","",fixed,Google Mobility,0.219,0.055,0.392
"","","","",random,weekday within year (Intercept),0%,-6%,14%
"","","","",random,Google Mobility (slope) | weekday within year,0%,-6%,14%
"","","","",random,Residual,100%,71%,112%
Table S3d - CZ,# of humans (ln),Gaussian,916,fixed,(Intercept),0.012,-0.207,0.239
"","","","",fixed,Google Mobility,0.183,-0.359,0.736
"","","","",random,weekday (Intercept),8%,1%,34%
"","","","",random,Google Mobility (slope) | weekday,8%,1%,34%
"","","","",random,Residual,83%,32%,97%
Table S3d - HU,# of humans (ln),Gaussian,874,fixed,(Intercept),-0.036,-0.178,0.102
"","","","",fixed,year,0.632,0.454,0.801
"","","","",fixed,Google Mobility,-0.276,-0.427,-0.126
"","","","",random,weekday within year (Intercept),1%,-1%,5%
"","","","",random,Google Mobility (slope) | weekday within year,1%,-1%,5%
"","","","",random,Residual,98%,89%,102%
