model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S4 - full a,Escape distance,Gaussian,3676,fixed,(Intercept),-0.079,-0.338,0.18
"","","","",fixed,year,0.019,-0.029,0.067
"","","","",fixed,starting distance (ln)),0.491,0.458,0.523
"","","","",fixed,flock size (ln),-0.003,-0.029,0.023
"","","","",fixed,body mass (ln),0.023,-0.044,0.092
"","","","",fixed,time (sine of radians),-0.02,-0.061,0.02
"","","","",fixed,time (cosine of radians),-0.005,-0.041,0.03
"","","","",fixed,temperaturre,-0.007,-0.048,0.035
"","","","",fixed,stringency index,0.018,-0.152,0.181
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),5%,3%,6%
"","","","",random,species (Intercept),7%,6%,9%
"","","","",random,site (Intercept),8%,7%,9%
"","","","",random,genus (Intercept),4%,4%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),2%,-16%,16%
"","","","",random,stringency index (slope) | country,2%,-16%,16%
"","","","",random,Residual,67%,45%,96%
Table S4 - full b,Escape distance,Gaussian,3676,fixed,(Intercept),0.052,-0.096,0.202
"","","","",fixed,year,0.084,0.03,0.139
"","","","",fixed,flock size (ln),0.011,-0.019,0.04
"","","","",fixed,body mass (ln),0.14,0.055,0.226
"","","","",fixed,time (sine of radians),0.046,0,0.093
"","","","",fixed,time (cosine of radians),0.049,0.009,0.091
"","","","",fixed,temperaturre,0.005,-0.042,0.051
"","","","",fixed,stringency index,-0.002,-0.224,0.223
"","","","",random,species within day & year (Intercept),6%,5%,8%
"","","","",random,species within site (Intercept),5%,4%,6%
"","","","",random,species (Intercept),9%,9%,10%
"","","","",random,site (Intercept),13%,13%,14%
"","","","",random,genus (Intercept),5%,5%,6%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),3%,-9%,9%
"","","","",random,stringency index (slope) | country,3%,-9%,9%
"","","","",random,Residual,55%,45%,73%
Table S4 - FI a,Escape distance,Gaussian,354,fixed,(Intercept),0.032,-0.186,0.237
"","","","",fixed,year,-0.108,-0.342,0.119
"","","","",fixed,starting distance (ln)),0.189,0.088,0.288
"","","","",fixed,flock size (ln),-0.111,-0.211,-0.011
"","","","",fixed,body mass (ln),0.175,0.017,0.333
"","","","",fixed,time (sine of radians),0.059,-0.061,0.187
"","","","",fixed,time (cosine of radians),0.013,-0.11,0.134
"","","","",fixed,temperaturre,-0.085,-0.2,0.027
"","","","",fixed,stringency index,0.154,-0.07,0.375
"","","","",random,species within site (Intercept),12%,12%,13%
"","","","",random,species within day & year (Intercept),3%,3%,3%
"","","","",random,site (Intercept),12%,10%,15%
"","","","",random,species (Intercept),0%,0%,1%
"","","","",random,genus (Intercept),3%,2%,5%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,68%,64%,73%
Table S4 - FI b,Escape distance,Gaussian,354,fixed,(Intercept),-0.008,-0.237,0.217
"","","","",fixed,year,-0.066,-0.297,0.166
"","","","",fixed,flock size (ln),-0.103,-0.205,-0.002
"","","","",fixed,body mass (ln),0.245,0.085,0.409
"","","","",fixed,time (sine of radians),0.054,-0.073,0.183
"","","","",fixed,time (cosine of radians),0.006,-0.123,0.129
"","","","",fixed,temperaturre,-0.088,-0.2,0.023
"","","","",fixed,stringency index,0.135,-0.088,0.36
"","","","",random,species within site (Intercept),14%,14%,15%
"","","","",random,species within day & year (Intercept),4%,3%,4%
"","","","",random,site (Intercept),14%,11%,16%
"","","","",random,species (Intercept),3%,2%,5%
"","","","",random,genus (Intercept),1%,1%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,63%,59%,69%
Table S4 - PL a,Escape distance,Gaussian,329,fixed,(Intercept),0.026,-0.197,0.254
"","","","",fixed,year,-0.206,-0.476,0.068
"","","","",fixed,starting distance (ln)),0.533,0.447,0.619
"","","","",fixed,flock size (ln),-0.032,-0.113,0.049
"","","","",fixed,body mass (ln),-0.083,-0.186,0.027
"","","","",fixed,time (sine of radians),0.123,-0.137,0.389
"","","","",fixed,time (cosine of radians),-0.238,-0.496,0.02
"","","","",fixed,temperaturre,-0.192,-0.312,-0.074
"","","","",fixed,stringency index,0.041,-0.228,0.31
"","","","",random,species within day & year (Intercept),7%,6%,7%
"","","","",random,species (Intercept),9%,7%,10%
"","","","",random,genus (Intercept),0%,0%,0%
"","","","",random,weekday (Intercept),10%,5%,16%
"","","","",random,Residual,75%,68%,82%
Table S4 - PL b,Escape distancey,Gaussian,329,fixed,(Intercept),0.023,-0.242,0.285
"","","","",fixed,year,-0.341,-0.65,-0.023
"","","","",fixed,flock size (ln),0.053,-0.045,0.148
"","","","",fixed,body mass (ln),-0.011,-0.163,0.145
"","","","",fixed,time (sine of radians),-0.033,-0.356,0.277
"","","","",fixed,time (cosine of radians),-0.078,-0.389,0.245
"","","","",fixed,temperaturre,-0.185,-0.321,-0.043
"","","","",fixed,stringency index,0.033,-0.28,0.346
"","","","",random,species within day & year (Intercept),4%,4%,4%
"","","","",random,species (Intercept),21%,17%,25%
"","","","",random,genus (Intercept),0%,0%,0%
"","","","",random,weekday (Intercept),5%,2%,9%
"","","","",random,Residual,69%,62%,77%
Table S4 - CZ a,Escape distance,Gaussian,1054,fixed,(Intercept),0.213,-0.008,0.437
"","","","",fixed,starting distance (ln)),0.344,0.283,0.405
"","","","",fixed,flock size (ln),0.005,-0.045,0.055
"","","","",fixed,body mass (ln),0.183,0.025,0.34
"","","","",fixed,time (sine of radians),0.066,-0.009,0.14
"","","","",fixed,time (cosine of radians),0.003,-0.069,0.076
"","","","",fixed,temperaturre,0.022,-0.073,0.116
"","","","",fixed,stringency index,-0.052,-0.173,0.069
"","","","",random,species within site (Intercept),4%,4%,4%
"","","","",random,species within day & year (Intercept),2%,2%,2%
"","","","",random,species (Intercept),14%,12%,17%
"","","","",random,genus (Intercept),14%,10%,17%
"","","","",random,site (Intercept),5%,4%,6%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,Residual,61%,53%,69%
Table S4 - CZ b,Escape distance,Gaussian,1054,fixed,(Intercept),0.216,-0.006,0.435
"","","","",fixed,starting distance (ln)),0.345,0.286,0.405
"","","","",fixed,flock size (ln),0.006,-0.044,0.055
"","","","",fixed,body mass (ln),0.185,0.028,0.335
"","","","",fixed,time (sine of radians),0.064,-0.01,0.14
"","","","",fixed,time (cosine of radians),0.001,-0.07,0.076
"","","","",fixed,temperaturre,0.024,-0.071,0.119
"","","","",fixed,stringency index,-0.052,-0.172,0.071
"","","","",random,species within site (Intercept),4%,4%,4%
"","","","",random,species within day & year (Intercept),2%,2%,2%
"","","","",random,species (Intercept),14%,12%,17%
"","","","",random,genus (Intercept),14%,10%,17%
"","","","",random,site (Intercept),5%,4%,6%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,Residual,61%,53%,69%
Table S4 - HU a,Escape distance,Gaussian,874,fixed,(Intercept),0.065,-0.222,0.35
"","","","",fixed,year,0.165,0.049,0.275
"","","","",fixed,starting distance (ln)),0.505,0.442,0.565
