model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S5 - full a,Escape distance,Gaussian,3644,fixed,Google Mobility (slope) | (Intercept),0.023,-0.098,0.141,"",""
"","","","",fixed,Google Mobility (slope) | year,0.018,-0.023,0.06,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.498,0.467,0.529,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),-0.001,-0.028,0.025,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.025,-0.044,0.091,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),-0.009,-0.049,0.033,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.011,-0.023,0.045,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,0.021,-0.016,0.058,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.101,-0.226,0.025,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),6%,5%,6%,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),5%,4%,5%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),7%,7%,8%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),9%,8%,10%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),3%,3%,4%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | country (Intercept),1%,-3%,4%,"",""
"","","","",random,Google Mobility (slope) | country,1%,-3%,4%,"",""
"","","","",random,Google Mobility (slope) | Residual,68%,61%,78%,"",""
Table S5 - full b,Escape distance,Gaussian,3644,fixed,Google Mobility (slope) | (Intercept),0.1,-0.114,0.317,"",""
"","","","",fixed,Google Mobility (slope) | year,0.071,0.02,0.119,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),0.012,-0.018,0.042,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.131,0.046,0.221,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),0.062,0.015,0.109,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.074,0.037,0.112,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,0.038,-0.005,0.083,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.121,-0.304,0.062,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),7%,5%,9%,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),6%,5%,7%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),11%,11%,12%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),12%,11%,13%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),5%,4%,5%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | country (Intercept),1%,-13%,9%,"",""
"","","","",random,Google Mobility (slope) | country,1%,-13%,9%,"",""
"","","","",random,Google Mobility (slope) | Residual,59%,46%,79%,"",""
Table S5 - FI a,Escape distance,Gaussian,322,fixed,Google Mobility (slope) | (Intercept),0.022,-0.177,0.222,"",""
"","","","",fixed,Google Mobility (slope) | year,0.13,-0.009,0.263,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.194,0.09,0.299,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),-0.119,-0.222,-0.017,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.241,0.08,0.398,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),0.132,-0.013,0.276,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.044,-0.081,0.166,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,-0.005,-0.136,0.127,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.099,-0.242,0.042,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),13%,12%,13%,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),3%,2%,3%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),16%,13%,19%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),2%,1%,4%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | Residual,66%,62%,71%,"",""
Table S5 - FI b,Escape distance,Gaussian,322,fixed,Google Mobility (slope) | (Intercept),-0.005,-0.232,0.214,"",""
"","","","",fixed,Google Mobility (slope) | year,0.149,0.007,0.289,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),-0.111,-0.217,-0.006,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.32,0.164,0.481,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),0.117,-0.027,0.261,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.031,-0.099,0.15,"",""
