model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S6 - full a,Escape distance,Gaussian,3504,fixed,(Intercept),0.149,-0.185,0.49,"",""
"","","","",fixed,starting distance (ln)),0.466,0.432,0.5,"",""
"","","","",fixed,flock size (ln),-0.021,-0.048,0.006,"",""
"","","","",fixed,body mass (ln),0.148,0.04,0.263,"",""
"","","","",fixed,time (sine of radians),0.022,-0.016,0.06,"",""
"","","","",fixed,time (cosine of radians),-0.009,-0.041,0.024,"",""
"","","","",fixed,temperaturre,-0.025,-0.062,0.012,"",""
"","","","",fixed,# of humans present,-0.053,-0.104,-0.001,"",""
"","","","",random,species within day & year (Intercept),8%,6%,8%,"",""
"","","","",random,species within site (Intercept),3%,2%,3%,"",""
"","","","",random,site (Intercept),5%,4%,5%,"",""
"","","","",random,species (Intercept),4%,4%,4%,"",""
"","","","",random,genus (Intercept),14%,11%,13%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,-2%,12%,"",""
"","","","",random,# of humans (slope) | country,0%,-2%,12%,"",""
"","","","",random,Year (Intercept),5%,4%,5%,"",""
"","","","",random,Residual,61%,43%,70%,"",""
Table S6 - full b,Escape distance,Gaussian,3504,fixed,(Intercept),0.305,-0.031,0.639,"",""
"","","","",fixed,flock size (ln),-0.004,-0.032,0.024,"",""
"","","","",fixed,body mass (ln),0.287,0.146,0.421,"",""
"","","","",fixed,time (sine of radians),0.038,-0.005,0.08,"",""
"","","","",fixed,time (cosine of radians),0.009,-0.028,0.046,"",""
"","","","",fixed,temperaturre,-0.025,-0.067,0.017,"",""
"","","","",fixed,# of humans present,-0.049,-0.121,0.025,"",""
"","","","",random,species within day & year (Intercept),7%,6%,8%,"",""
"","","","",random,species within site (Intercept),2%,2%,3%,"",""
"","","","",random,site (Intercept),13%,12%,13%,"",""
"","","","",random,species (Intercept),4%,4%,4%,"",""
"","","","",random,genus (Intercept),17%,14%,19%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,-1%,4%,"",""
"","","","",random,# of humans (slope) | country,0%,-1%,4%,"",""
"","","","",random,Year (Intercept),6%,5%,7%,"",""
"","","","",random,Residual,50%,41%,57%,"",""
Table S6 - FI a,Escape distance,Gaussian,761,fixed,(Intercept),-0.019,-0.22,0.197,0.2218855911169,0.487210639295139
"","","","",fixed,year,-0.1,-0.18,-0.019,"",""
"","","","",fixed,starting distance (ln)),0.283,0.216,0.349,"",""
"","","","",fixed,flock size (ln),-0.062,-0.125,0.005,"",""
"","","","",fixed,body mass (ln),0.137,-0.005,0.282,"",""
"","","","",fixed,time (sine of radians),0.094,0.017,0.169,"",""
"","","","",fixed,time (cosine of radians),-0.047,-0.118,0.025,"",""
"","","","",fixed,temperaturre,-0.174,-0.255,-0.09,"",""
"","","","",fixed,# of humans present,-0.1,-0.163,-0.039,"",""
"","","","",random,species within day & year (Intercept),13%,13%,13%,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,site (Intercept),7%,6%,8%,"",""
"","","","",random,species (Intercept),3%,2%,4%,"",""
"","","","",random,genus (Intercept),3%,2%,5%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,67%,61%,72%,"",""
Table S6 - FI b,Escape distance,Gaussian,761,fixed,(Intercept),-0.091,-0.328,0.15,0.151954724327676,0.475782512522568
"","","","",fixed,year,-0.042,-0.121,0.04,"",""
"","","","",fixed,flock size (ln),-0.029,-0.093,0.035,"",""
"","","","",fixed,body mass (ln),0.251,0.093,0.413,"",""
"","","","",fixed,time (sine of radians),0.102,0.02,0.179,"",""
"","","","",fixed,time (cosine of radians),-0.063,-0.139,0.012,"",""
"","","","",fixed,temperaturre,-0.178,-0.264,-0.09,"",""
"","","","",fixed,# of humans present,-0.119,-0.184,-0.055,"",""
"","","","",random,species within day & year (Intercept),12%,12%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),9%,7%,10%,"",""
"","","","",random,species (Intercept),6%,4%,8%,"",""
"","","","",random,genus (Intercept),3%,2%,4%,"",""
"","","","",random,weekday (Intercept),3%,1%,5%,"",""
"","","","",random,Residual,63%,57%,69%,"",""
Table S6 - PL a,Escape distance,Gaussian,263,fixed,(Intercept),0.082,-0.076,0.235,"",""
"","","","",fixed,starting distance (ln)),0.58,0.484,0.677,"",""
"","","","",fixed,flock size (ln),-0.041,-0.135,0.056,"",""
"","","","",fixed,body mass (ln),-0.172,-0.3,-0.04,"",""
"","","","",fixed,time (sine of radians),-0.109,-0.299,0.074,"",""
"","","","",fixed,time (cosine of radians),0.041,-0.108,0.192,"",""
"","","","",fixed,temperaturre,-0.069,-0.195,0.057,"",""
"","","","",fixed,# of humans present,-0.033,-0.162,0.095,"",""
"","","","",random,species within day & year (Intercept),18%,17%,18%,"",""
"","","","",random,species (Intercept),12%,9%,14%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,70%,67%,74%,"",""
Table S6 - PL b,Escape distancey,Gaussian,263,fixed,(Intercept),0.269,-0.018,0.546,"",""
"","","","",fixed,flock size (ln),0.019,-0.092,0.134,"",""
"","","","",fixed,body mass (ln),-0.026,-0.247,0.201,"",""
"","","","",fixed,time (sine of radians),-0.095,-0.319,0.137,"",""
"","","","",fixed,time (cosine of radians),0.007,-0.17,0.185,"",""
"","","","",fixed,temperaturre,-0.104,-0.258,0.05,"",""
"","","","",fixed,# of humans present,-0.025,-0.182,0.126,"",""
"","","","",random,species within day & year (Intercept),17%,16%,18%,"",""
"","","","",random,species (Intercept),39%,32%,44%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,44%,40%,50%,"",""
Table S6 - CZ a,Escape distance,Gaussian,1024,fixed,(Intercept),0.238,0.04,0.433,"",""
"","","","",fixed,year,0.184,0.093,0.278,"",""
"","","","",fixed,starting distance (ln)),0.336,0.258,0.413,"",""
"","","","",fixed,flock size (ln),-0.002,-0.048,0.044,"",""
"","","","",fixed,body mass (ln),0.199,0.05,0.352,"",""
"","","","",fixed,time (sine of radians),0.032,-0.087,0.156,"",""
"","","","",fixed,time (cosine of radians),-0.055,-0.176,0.065,"",""
"","","","",fixed,temperaturre,0.072,0.008,0.142,"",""
"","","","",fixed,# of humans present,-0.046,-0.11,0.018,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),5%,4%,6%,"",""
"","","","",random,genus (Intercept),12%,9%,15%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,61%,54%,68%,"",""
Table S6 - CZ b,Escape distance,Gaussian,1024,fixed,(Intercept),0.24,0.053,0.43,"",""
"","","","",fixed,year,0.185,0.092,0.276,"",""
"","","","",fixed,starting distance (ln)),0.336,0.261,0.412,"",""
"","","","",fixed,flock size (ln),-0.002,-0.048,0.045,"",""
"","","","",fixed,body mass (ln),0.201,0.051,0.354,"",""
"","","","",fixed,time (sine of radians),0.032,-0.086,0.154,"",""
"","","","",fixed,time (cosine of radians),-0.055,-0.174,0.062,"",""
"","","","",fixed,temperaturre,0.073,0.005,0.139,"",""
"","","","",fixed,# of humans present,-0.045,-0.109,0.019,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),5%,4%,6%,"",""
"","","","",random,genus (Intercept),12%,9%,15%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,61%,54%,68%,"",""
Table S6 - HU a,Escape distance,Gaussian,1456,fixed,(Intercept),0.087,-0.116,0.29,"",""
"","","","",fixed,year,-0.066,-0.124,-0.008,"",""
"","","","",fixed,starting distance (ln)),0.491,0.444,0.538,"",""
"","","","",fixed,flock size (ln),-0.021,-0.063,0.02,"",""
"","","","",fixed,body mass (ln),-0.062,-0.186,0.063,"",""
"","","","",fixed,time (sine of radians),-0.067,-0.125,-0.011,"",""
"","","","",fixed,time (cosine of radians),0.028,-0.017,0.074,"",""
"","","","",fixed,temperaturre,0.022,-0.034,0.08,"",""
"","","","",fixed,# of humans present,0.006,-0.035,0.046,"",""
"","","","",random,species within day & year (Intercept),9%,9%,9%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),2%,2%,3%,"",""
"","","","",random,genus (Intercept),8%,5%,11%,"",""
"","","","",random,site (Intercept),4%,1%,7%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,76%,68%,82%,"",""
Table S6 - HU b,Escape distance,Gaussian,1456,fixed,(Intercept),0.07,-0.253,0.406,"",""
"","","","",fixed,year,-0.063,-0.134,0.007,"",""
"","","","",fixed,flock size (ln),-0.02,-0.065,0.028,"",""
"","","","",fixed,body mass (ln),0.198,0.017,0.387,"",""
"","","","",fixed,time (sine of radians),-0.098,-0.163,-0.03,"",""
"","","","",fixed,time (cosine of radians),0.038,-0.018,0.09,"",""
"","","","",fixed,temperaturre,0.029,-0.038,0.096,"",""
"","","","",fixed,# of humans present,0.014,-0.034,0.06,"",""
"","","","",random,species within day & year (Intercept),10%,9%,11%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),1%,1%,2%,"",""
"","","","",random,genus (Intercept),20%,14%,25%,"",""
"","","","",random,site (Intercept),9%,4%,13%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,58%,48%,69%,"",""
