model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S6 - full a,Escape distance,Gaussian,3396,fixed,(Intercept),0.253,0.024,0.475,"",""
"","","","",fixed,starting distance (ln)),0.444,0.409,0.479,"",""
"","","","",fixed,flock size (ln),-0.023,-0.05,0.003,"",""
"","","","",fixed,body mass (ln),0.155,0.044,0.265,"",""
"","","","",fixed,time (sine of radians),0.025,-0.013,0.062,"",""
"","","","",fixed,time (cosine of radians),-0.004,-0.037,0.03,"",""
"","","","",fixed,temperaturre,-0.025,-0.064,0.013,"",""
"","","","",fixed,humans present,-0.004,-0.034,0.026,"",""
"","","","",random,species within day & year (Intercept),8%,7%,8%,"",""
"","","","",random,species within site (Intercept),3%,3%,3%,"",""
"","","","",random,site (Intercept),9%,8%,10%,"",""
"","","","",random,species (Intercept),4%,3%,4%,"",""
"","","","",random,genus (Intercept),12%,9%,14%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,0%,0%,"",""
"","","","",random,Year (Intercept),6%,4%,9%,"",""
"","","","",random,Residual,60%,52%,66%,"",""
Table S6 - full b,Escape distance,Gaussian,3396,fixed,(Intercept),0.167,-0.37,0.676,"",""
"","","","",fixed,flock size (ln),-0.009,-0.039,0.021,"",""
"","","","",fixed,body mass (ln),0.297,0.161,0.434,"",""
"","","","",fixed,time (sine of radians),0.029,-0.014,0.072,"",""
"","","","",fixed,time (cosine of radians),0.004,-0.032,0.04,"",""
"","","","",fixed,temperaturre,-0.01,-0.054,0.033,"",""
"","","","",fixed,humans present,0.004,-0.029,0.035,"",""
"","","","",random,species within day & year (Intercept),6%,4%,8%,"",""
"","","","",random,species within site (Intercept),2%,1%,3%,"",""
"","","","",random,site (Intercept),6%,5%,6%,"",""
"","","","",random,species (Intercept),3%,3%,3%,"",""
"","","","",random,genus (Intercept),14%,13%,13%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),21%,7%,39%,"",""
"","","","",random,Year (Intercept),4%,4%,5%,"",""
"","","","",random,Residual,43%,29%,56%,"",""
Table S6 - FI a,Escape distance,Gaussian,761,fixed,(Intercept),-0.022,-0.219,0.182,0.210034708037443,0.485171076156294
"","","","",fixed,year,-0.105,-0.185,-0.026,"",""
"","","","",fixed,starting distance (ln)),0.288,0.221,0.351,"",""
"","","","",fixed,flock size (ln),-0.066,-0.131,-0.002,"",""
"","","","",fixed,body mass (ln),0.125,-0.022,0.274,"",""
"","","","",fixed,time (sine of radians),0.107,0.028,0.182,"",""
"","","","",fixed,time (cosine of radians),-0.034,-0.107,0.038,"",""
"","","","",fixed,temperaturre,-0.172,-0.258,-0.089,"",""
"","","","",fixed,humans present,-0.009,-0.072,0.055,"",""
"","","","",random,species within day & year (Intercept),13%,13%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),9%,8%,11%,"",""
"","","","",random,species (Intercept),4%,2%,5%,"",""
"","","","",random,genus (Intercept),3%,2%,4%,"",""
"","","","",random,weekday (Intercept),1%,0%,2%,"",""
"","","","",random,Residual,66%,61%,70%,"",""
Table S6 - FI b,Escape distance,Gaussian,761,fixed,(Intercept),-0.104,-0.355,0.135,0.137184795093652,0.478902980678888
"","","","",fixed,year,-0.047,-0.132,0.037,"",""
"","","","",fixed,flock size (ln),-0.032,-0.097,0.035,"",""
"","","","",fixed,body mass (ln),0.243,0.087,0.404,"",""
"","","","",fixed,time (sine of radians),0.113,0.031,0.196,"",""
"","","","",fixed,time (cosine of radians),-0.048,-0.123,0.027,"",""
"","","","",fixed,temperaturre,-0.178,-0.268,-0.091,"",""
"","","","",fixed,humans present,-0.009,-0.074,0.058,"",""
"","","","",random,species within day & year (Intercept),12%,12%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),12%,10%,14%,"",""
"","","","",random,species (Intercept),6%,4%,8%,"",""
"","","","",random,genus (Intercept),3%,1%,4%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,61%,55%,67%,"",""
Table S6 - PL a,Escape distance,Gaussian,263,fixed,(Intercept),0.073,-0.076,0.225,"",""
"","","","",fixed,starting distance (ln)),0.572,0.473,0.668,"",""
"","","","",fixed,flock size (ln),-0.034,-0.13,0.062,"",""
"","","","",fixed,body mass (ln),-0.159,-0.291,-0.026,"",""
"","","","",fixed,time (sine of radians),-0.087,-0.246,0.07,"",""
"","","","",fixed,time (cosine of radians),0.038,-0.103,0.176,"",""
"","","","",fixed,temperaturre,-0.06,-0.184,0.06,"",""
"","","","",fixed,humans present,-0.108,-0.204,-0.011,"",""
"","","","",random,species within day & year (Intercept),17%,16%,17%,"",""
"","","","",random,species (Intercept),12%,9%,15%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,71%,68%,75%,"",""
Table S6 - PL b,Escape distancey,Gaussian,263,fixed,(Intercept),0.259,-0.039,0.539,"",""
"","","","",fixed,flock size (ln),0.028,-0.085,0.138,"",""
"","","","",fixed,body mass (ln),0.009,-0.217,0.243,"",""
"","","","",fixed,time (sine of radians),-0.083,-0.272,0.102,"",""
"","","","",fixed,time (cosine of radians),0.016,-0.152,0.184,"",""
"","","","",fixed,temperaturre,-0.092,-0.241,0.052,"",""
"","","","",fixed,humans present,-0.154,-0.273,-0.034,"",""
"","","","",random,species within day & year (Intercept),15%,14%,16%,"",""
"","","","",random,species (Intercept),43%,36%,48%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,42%,38%,48%,"",""
Table S6 - CZ a,Escape distance,Gaussian,916,fixed,(Intercept),0.247,0.022,0.478,"",""
"","","","",fixed,starting distance (ln)),0.226,0.162,0.289,"",""
"","","","",fixed,flock size (ln),-0.007,-0.065,0.051,"",""
"","","","",fixed,body mass (ln),0.235,0.06,0.416,"",""
"","","","",fixed,time (sine of radians),0.043,-0.123,0.21,"",""
"","","","",fixed,time (cosine of radians),-0.054,-0.216,0.105,"",""
"","","","",fixed,temperaturre,0.076,-0.012,0.163,"",""
"","","","",fixed,humans present,-0.007,-0.071,0.056,"",""
"","","","",random,species within site (Intercept),1%,1%,1%,"",""
"","","","",random,species within day & year (Intercept),5%,5%,5%,"",""
"","","","",random,species (Intercept),15%,12%,18%,"",""
"","","","",random,genus (Intercept),15%,11%,18%,"",""
"","","","",random,site (Intercept),4%,3%,4%,"",""
"","","","",random,weekday (Intercept),0%,0%,1%,"",""
"","","","",random,Residual,60%,53%,67%,"",""
Table S6 - CZ b,Escape distance,Gaussian,916,fixed,(Intercept),0.248,0.015,0.483,"",""
"","","","",fixed,starting distance (ln)),0.226,0.163,0.29,"",""
"","","","",fixed,flock size (ln),-0.007,-0.065,0.053,"",""
"","","","",fixed,body mass (ln),0.235,0.057,0.417,"",""
"","","","",fixed,time (sine of radians),0.042,-0.123,0.207,"",""
"","","","",fixed,time (cosine of radians),-0.052,-0.212,0.106,"",""
"","","","",fixed,temperaturre,0.073,-0.013,0.164,"",""
"","","","",fixed,humans present,-0.006,-0.071,0.056,"",""
"","","","",random,species within site (Intercept),1%,1%,1%,"",""
"","","","",random,species within day & year (Intercept),5%,5%,5%,"",""
"","","","",random,species (Intercept),15%,12%,18%,"",""
"","","","",random,genus (Intercept),15%,11%,18%,"",""
"","","","",random,site (Intercept),4%,3%,4%,"",""
"","","","",random,weekday (Intercept),0%,0%,1%,"",""
"","","","",random,Residual,60%,53%,67%,"",""
Table S6 - HU a,Escape distance,Gaussian,1456,fixed,(Intercept),0.092,-0.117,0.3,"",""
"","","","",fixed,year,-0.069,-0.128,-0.007,"",""
"","","","",fixed,starting distance (ln)),0.49,0.444,0.537,"",""
"","","","",fixed,flock size (ln),-0.02,-0.062,0.022,"",""
"","","","",fixed,body mass (ln),-0.061,-0.189,0.067,"",""
"","","","",fixed,time (sine of radians),-0.067,-0.126,-0.012,"",""
"","","","",fixed,time (cosine of radians),0.027,-0.019,0.073,"",""
"","","","",fixed,temperaturre,0.022,-0.035,0.079,"",""
"","","","",fixed,humans present,0.018,-0.024,0.06,"",""
"","","","",random,species within day & year (Intercept),9%,8%,9%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),2%,1%,3%,"",""
"","","","",random,genus (Intercept),8%,5%,11%,"",""
"","","","",random,site (Intercept),4%,1%,7%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,75%,68%,82%,"",""
Table S6 - HU b,Escape distance,Gaussian,1456,fixed,(Intercept),0.071,-0.267,0.421,"",""
"","","","",fixed,year,-0.065,-0.138,0.007,"",""
"","","","",fixed,flock size (ln),-0.019,-0.065,0.029,"",""
"","","","",fixed,body mass (ln),0.194,0.003,0.383,"",""
"","","","",fixed,time (sine of radians),-0.098,-0.164,-0.034,"",""
"","","","",fixed,time (cosine of radians),0.037,-0.016,0.089,"",""
"","","","",fixed,temperaturre,0.027,-0.04,0.096,"",""
"","","","",fixed,humans present,0.032,-0.016,0.081,"",""
"","","","",random,species within day & year (Intercept),10%,9%,11%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),1%,1%,2%,"",""
"","","","",random,genus (Intercept),20%,14%,25%,"",""
"","","","",random,site (Intercept),9%,4%,14%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,58%,48%,69%,"",""
