model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S6 - full a,Escape distance,Gaussian,3504,fixed,(Intercept),0.248,0.023,0.473,"",""
"","","","",fixed,starting distance (ln)),0.463,0.43,0.497,"",""
"","","","",fixed,flock size (ln),-0.02,-0.046,0.006,"",""
"","","","",fixed,body mass (ln),0.147,0.039,0.258,"",""
"","","","",fixed,time (sine of radians),0.021,-0.015,0.057,"",""
"","","","",fixed,time (cosine of radians),-0.008,-0.04,0.025,"",""
"","","","",fixed,temperaturre,-0.025,-0.063,0.012,"",""
"","","","",fixed,# of humans present,-0.048,-0.083,-0.012,"",""
"","","","",random,species within day & year (Intercept),7%,7%,8%,"",""
"","","","",random,species within site (Intercept),3%,2%,3%,"",""
"","","","",random,site (Intercept),8%,7%,9%,"",""
"","","","",random,species (Intercept),3%,2%,4%,"",""
"","","","",random,genus (Intercept),13%,10%,16%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,0%,0%,"",""
"","","","",random,Year (Intercept),6%,4%,10%,"",""
"","","","",random,Residual,60%,53%,66%,"",""
Table S6 - full b,Escape distance,Gaussian,3504,fixed,(Intercept),0.235,-0.153,0.622,"",""
"","","","",fixed,flock size (ln),-0.004,-0.033,0.024,"",""
"","","","",fixed,body mass (ln),0.285,0.152,0.417,"",""
"","","","",fixed,time (sine of radians),0.033,-0.009,0.075,"",""
"","","","",fixed,time (cosine of radians),0.008,-0.028,0.045,"",""
"","","","",fixed,temperaturre,-0.024,-0.066,0.019,"",""
"","","","",fixed,# of humans present,-0.061,-0.101,-0.021,"",""
"","","","",random,species within day & year (Intercept),7%,6%,8%,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,site (Intercept),14%,13%,14%,"",""
"","","","",random,species (Intercept),3%,2%,3%,"",""
"","","","",random,genus (Intercept),15%,13%,17%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),6%,2%,13%,"",""
"","","","",random,Year (Intercept),6%,5%,10%,"",""
"","","","",random,Residual,46%,37%,55%,"",""
Table S6 - FI a,Escape distance,Gaussian,761,fixed,(Intercept),-0.022,-0.225,0.182,0.221885591061048,0.487210639470829
"","","","",fixed,year,-0.101,-0.18,-0.021,"",""
"","","","",fixed,starting distance (ln)),0.282,0.217,0.347,"",""
"","","","",fixed,flock size (ln),-0.063,-0.127,0.002,"",""
"","","","",fixed,body mass (ln),0.139,-0.009,0.283,"",""
"","","","",fixed,time (sine of radians),0.093,0.021,0.171,"",""
"","","","",fixed,time (cosine of radians),-0.047,-0.118,0.025,"",""
"","","","",fixed,temperaturre,-0.173,-0.254,-0.09,"",""
"","","","",fixed,# of humans present,-0.101,-0.161,-0.04,"",""
"","","","",random,species within day & year (Intercept),13%,13%,13%,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,site (Intercept),7%,6%,8%,"",""
"","","","",random,species (Intercept),3%,2%,5%,"",""
"","","","",random,genus (Intercept),3%,2%,5%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,67%,61%,71%,"",""
Table S6 - FI b,Escape distance,Gaussian,761,fixed,(Intercept),-0.095,-0.328,0.147,0.15195472434822,0.47578251252783
"","","","",fixed,year,-0.039,-0.124,0.043,"",""
"","","","",fixed,flock size (ln),-0.029,-0.093,0.035,"",""
"","","","",fixed,body mass (ln),0.254,0.096,0.414,"",""
"","","","",fixed,time (sine of radians),0.1,0.023,0.18,"",""
"","","","",fixed,time (cosine of radians),-0.062,-0.137,0.014,"",""
"","","","",fixed,temperaturre,-0.179,-0.264,-0.093,"",""
"","","","",fixed,# of humans present,-0.12,-0.183,-0.054,"",""
"","","","",random,species within day & year (Intercept),12%,12%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),9%,7%,10%,"",""
"","","","",random,species (Intercept),6%,4%,8%,"",""
"","","","",random,genus (Intercept),3%,2%,4%,"",""
"","","","",random,weekday (Intercept),3%,1%,4%,"",""
"","","","",random,Residual,63%,57%,69%,"",""
Table S6 - PL a,Escape distance,Gaussian,263,fixed,(Intercept),0.086,-0.066,0.234,"",""
"","","","",fixed,starting distance (ln)),0.58,0.485,0.679,"",""
"","","","",fixed,flock size (ln),-0.042,-0.136,0.054,"",""
