model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S6 - full a,Escape distance,Gaussian,3504,fixed,(Intercept),0.243,0.016,0.471,"",""
"","","","",fixed,starting distance (ln)),0.463,0.429,0.497,"",""
"","","","",fixed,flock size (ln),-0.021,-0.046,0.005,"",""
"","","","",fixed,body mass (ln),0.148,0.039,0.255,"",""
"","","","",fixed,time (sine of radians),0.021,-0.015,0.057,"",""
"","","","",fixed,time (cosine of radians),-0.008,-0.041,0.025,"",""
"","","","",fixed,temperaturre,-0.025,-0.062,0.011,"",""
"","","","",fixed,# of humans present,-0.047,-0.082,-0.012,"",""
"","","","",random,species within day & year (Intercept),7%,7%,8%,"",""
"","","","",random,species within site (Intercept),3%,2%,3%,"",""
"","","","",random,site (Intercept),8%,7%,9%,"",""
"","","","",random,species (Intercept),3%,2%,4%,"",""
"","","","",random,genus (Intercept),13%,10%,15%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,0%,0%,"",""
"","","","",random,Year (Intercept),6%,4%,10%,"",""
"","","","",random,Residual,60%,53%,66%,"",""
Table S6 - full b,Escape distance,Gaussian,3504,fixed,(Intercept),0.23,-0.168,0.622,"",""
"","","","",fixed,flock size (ln),-0.004,-0.031,0.024,"",""
"","","","",fixed,body mass (ln),0.286,0.154,0.423,"",""
"","","","",fixed,time (sine of radians),0.033,-0.01,0.076,"",""
"","","","",fixed,time (cosine of radians),0.009,-0.029,0.044,"",""
"","","","",fixed,temperaturre,-0.024,-0.067,0.021,"",""
"","","","",fixed,# of humans present,-0.061,-0.103,-0.021,"",""
"","","","",random,species within day & year (Intercept),7%,6%,8%,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,site (Intercept),14%,13%,14%,"",""
"","","","",random,species (Intercept),3%,2%,3%,"",""
"","","","",random,genus (Intercept),15%,13%,17%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),6%,2%,13%,"",""
"","","","",random,Year (Intercept),6%,5%,10%,"",""
"","","","",random,Residual,46%,37%,55%,"",""
Table S6 - FI a,Escape distance,Gaussian,761,fixed,(Intercept),-0.019,-0.22,0.186,0.221885591061048,0.487210639470829
"","","","",fixed,year,-0.101,-0.181,-0.02,"",""
"","","","",fixed,starting distance (ln)),0.283,0.216,0.349,"",""
"","","","",fixed,flock size (ln),-0.063,-0.127,0,"",""
"","","","",fixed,body mass (ln),0.136,-0.008,0.283,"",""
"","","","",fixed,time (sine of radians),0.093,0.017,0.172,"",""
"","","","",fixed,time (cosine of radians),-0.046,-0.118,0.025,"",""
"","","","",fixed,temperaturre,-0.173,-0.253,-0.089,"",""
"","","","",fixed,# of humans present,-0.1,-0.162,-0.038,"",""
"","","","",random,species within day & year (Intercept),13%,13%,13%,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,site (Intercept),7%,6%,8%,"",""
"","","","",random,species (Intercept),3%,2%,4%,"",""
"","","","",random,genus (Intercept),3%,2%,5%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,67%,61%,72%,"",""
Table S6 - FI b,Escape distance,Gaussian,761,fixed,(Intercept),-0.093,-0.33,0.152,0.15195472434822,0.47578251252783
"","","","",fixed,year,-0.041,-0.122,0.042,"",""
"","","","",fixed,flock size (ln),-0.03,-0.093,0.037,"",""
"","","","",fixed,body mass (ln),0.251,0.093,0.415,"",""
"","","","",fixed,time (sine of radians),0.102,0.021,0.181,"",""
"","","","",fixed,time (cosine of radians),-0.062,-0.137,0.009,"",""
"","","","",fixed,temperaturre,-0.179,-0.262,-0.093,"",""
"","","","",fixed,# of humans present,-0.12,-0.184,-0.055,"",""
"","","","",random,species within day & year (Intercept),12%,12%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),9%,7%,10%,"",""
"","","","",random,species (Intercept),6%,4%,8%,"",""
"","","","",random,genus (Intercept),3%,2%,4%,"",""
"","","","",random,weekday (Intercept),3%,1%,5%,"",""
"","","","",random,Residual,63%,57%,69%,"",""
Table S6 - PL a,Escape distance,Gaussian,263,fixed,(Intercept),0.081,-0.072,0.231,"",""
"","","","",fixed,starting distance (ln)),0.58,0.485,0.68,"",""
"","","","",fixed,flock size (ln),-0.043,-0.142,0.053,"",""
"","","","",fixed,body mass (ln),-0.17,-0.303,-0.035,"",""
"","","","",fixed,time (sine of radians),-0.109,-0.304,0.075,"",""
"","","","",fixed,time (cosine of radians),0.039,-0.106,0.189,"",""
"","","","",fixed,temperaturre,-0.068,-0.192,0.056,"",""
"","","","",fixed,# of humans present,-0.034,-0.161,0.094,"",""
"","","","",random,species within day & year (Intercept),18%,17%,18%,"",""
"","","","",random,species (Intercept),12%,9%,14%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,71%,67%,74%,"",""
Table S6 - PL b,Escape distancey,Gaussian,263,fixed,(Intercept),0.268,-0.013,0.551,"",""
"","","","",fixed,flock size (ln),0.018,-0.096,0.126,"",""
"","","","",fixed,body mass (ln),-0.023,-0.247,0.205,"",""
"","","","",fixed,time (sine of radians),-0.096,-0.324,0.116,"",""
