model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S_FID_country - FI a,Escape distance,Gaussian,1019,fixed,(Intercept),-0.035,-0.321,0.231,"",""
"","","","",fixed,scale(log(SD)),0.282,0.228,0.336,"",""
"","","","",fixed,scale(log(flock size)),-0.049,-0.101,0.001,"",""
"","","","",fixed,scale(log(body mass)),0.091,-0.066,0.24,"",""
"","","","",fixed,scale(sin(rad)),0.085,0.022,0.147,"",""
"","","","",fixed,scale(cos(rad)),0.031,-0.028,0.088,"",""
"","","","",fixed,scale(temperaturre),-0.079,-0.148,-0.009,"",""
"","","","",fixed,Period,-0.15,-0.337,0.031,"",""
"","","","",random %,species within day & year (Intercept),10%,9%,11%,"",""
"","","","",random %,species within site (Intercept),6%,5%,7%,"",""
"","","","",random %,site (Intercept),1%,0%,3%,"",""
"","","","",random %,site Period,1%,0%,3%,"",""
"","","","",random %,species (Intercept),4%,3%,5%,"",""
"","","","",random %,genus (Intercept),10%,7%,14%,"",""
"","","","",random %,weekday (Intercept),0%,0%,1%,"",""
"","","","",random %,year (Intercept),5%,1%,11%,"",""
"","","","",random %,Residual,61%,50%,72%,"",""
Table S_FID_country - FI b,Escape distance,Gaussian,1019,fixed,(Intercept),-0.125,-0.468,0.221,0.108775578123487,0.502022548681692
"","","","",fixed,scale(log(flock size)),-0.018,-0.07,0.034,"",""
"","","","",fixed,scale(log(body mass)),0.2,0.03,0.375,"",""
"","","","",fixed,scale(sin(rad)),0.093,0.026,0.161,"",""
"","","","",fixed,scale(cos(rad)),0.029,-0.032,0.089,"",""
"","","","",fixed,scale(temperaturre),-0.076,-0.148,-0.005,"",""
"","","","",fixed,Period,-0.132,-0.366,0.101,"",""
"","","","",random %,species within day & year (Intercept),9%,7%,10%,"",""
"","","","",random %,species within site (Intercept),7%,6%,7%,"",""
"","","","",random %,site (Intercept),1%,1%,2%,"",""
"","","","",random %,site Period,1%,1%,2%,"",""
"","","","",random %,species (Intercept),7%,5%,8%,"",""
"","","","",random %,genus (Intercept),10%,7%,13%,"",""
"","","","",random %,weekday (Intercept),1%,0%,1%,"",""
"","","","",random %,year (Intercept),9%,2%,16%,"",""
"","","","",random %,Residual,56%,44%,68%,"",""
Table S_FID_country - PL a,Escape distance,Gaussian,762,fixed,(Intercept),0.145,-0.115,0.404,"",""
"","","","",fixed,scale(log(SD)),0.479,0.419,0.538,"",""
"","","","",fixed,scale(log(flock size)),0.012,-0.042,0.066,"",""
"","","","",fixed,scale(log(body mass)),-0.07,-0.172,0.031,"",""
"","","","",fixed,scale(sin(rad)),-0.035,-0.117,0.05,"",""
"","","","",fixed,scale(cos(rad)),-0.012,-0.101,0.078,"",""
"","","","",fixed,scale(temperaturre),-0.111,-0.182,-0.04,"",""
"","","","",fixed,Period,0.119,-0.112,0.353,"",""
"","","","",random %,species within day & year (Intercept),8%,8%,8%,"",""
"","","","",random %,species (Intercept),15%,12%,17%,"",""
"","","","",random %,genus (Intercept),0%,0%,0%,"",""
"","","","",random %,weekday (Intercept),0%,0%,1%,"",""
"","","","",random %,year (Intercept),11%,7%,17%,"",""
"","","","",random %,Residual,66%,57%,72%,"",""
Table S_FID_country - PL b,Escape distance,Gaussian,762,fixed,(Intercept),0.246,-0.075,0.558,"",""
"","","","",fixed,scale(log(flock size)),0.054,-0.009,0.117,"",""
"","","","",fixed,scale(log(body mass)),0.046,-0.097,0.19,"",""
"","","","",fixed,scale(sin(rad)),-0.014,-0.112,0.077,"",""
"","","","",fixed,scale(cos(rad)),-0.001,-0.104,0.099,"",""
"","","","",fixed,scale(temperaturre),-0.104,-0.187,-0.02,"",""
"","","","",fixed,Period,0.245,0.001,0.498,"",""
"","","","",random %,species within day & year (Intercept),11%,10%,11%,"",""
"","","","",random %,species (Intercept),26%,22%,29%,"",""
"","","","",random %,genus (Intercept),1%,1%,2%,"",""
"","","","",random %,weekday (Intercept),0%,0%,0%,"",""
"","","","",random %,year (Intercept),8%,5%,14%,"",""
"","","","",random %,Residual,53%,46%,60%,"",""
Table S_FID_country - CZ a,Escape distancey,Gaussian,2013,fixed,(Intercept),0.111,-0.257,0.481,"",""
"","","","",fixed,scale(log(SD)),0.392,0.351,0.437,"",""
"","","","",fixed,scale(log(flock size)),0.005,-0.03,0.037,"",""
"","","","",fixed,scale(log(body mass)),0.17,0.038,0.308,"",""
"","","","",fixed,scale(sin(rad)),0.05,0.002,0.099,"",""
"","","","",fixed,scale(cos(rad)),0.054,0.009,0.097,"",""
"","","","",fixed,scale(temperaturre),0.043,-0.008,0.093,"",""
"","","","",fixed,Period,0.036,-0.294,0.361,"",""
"","","","",random %,species within day & year (Intercept),3%,2%,3%,"",""
"","","","",random %,species within site (Intercept),3%,2%,3%,"",""
"","","","",random %,species (Intercept),13%,12%,13%,"",""
"","","","",random %,site (Intercept),2%,0%,3%,"",""
"","","","",random %,site Period,2%,0%,3%,"",""
"","","","",random %,genus (Intercept),12%,11%,11%,"",""
"","","","",random %,weekday (Intercept),0%,0%,0%,"",""
"","","","",random %,year (Intercept),15%,1%,33%,"",""
"","","","",random %,Residual,52%,34%,70%,"",""
Table S_FID_country - CZ b,Escape distance,Gaussian,2013,fixed,(Intercept),-0.043,-0.969,0.867,0.13420772505582,0.707219804534436
"","","","",fixed,scale(log(flock size)),0.005,-0.031,0.04,"",""
"","","","",fixed,scale(log(body mass)),0.231,0.078,0.382,"",""
"","","","",fixed,scale(sin(rad)),0.14,0.086,0.195,"",""
"","","","",fixed,scale(cos(rad)),0.123,0.075,0.172,"",""
"","","","",fixed,scale(temperaturre),0.035,-0.027,0.098,"",""
"","","","",fixed,Period,0.223,-0.642,1.1,"",""
"","","","",random %,species within day & year (Intercept),2%,1%,5%,"",""
"","","","",random %,species within site (Intercept),1%,1%,2%,"",""
"","","","",random %,species (Intercept),6%,4%,10%,"",""
"","","","",random %,site (Intercept),1%,-1%,1%,"",""
"","","","",random %,site Period,1%,-1%,1%,"",""
"","","","",random %,genus (Intercept),8%,5%,11%,"",""
"","","","",random %,weekday (Intercept),1%,0%,1%,"",""
"","","","",random %,year (Intercept),54%,17%,73%,"",""
"","","","",random %,Residual,26%,13%,57%,"",""
Table S_FID_country - HU a,Escape distance,Gaussian,1456,fixed,(Intercept),0.097,-0.174,0.384,"",""
"","","","",fixed,scale(log(SD)),0.485,0.438,0.531,"",""
"","","","",fixed,scale(log(flock size)),-0.012,-0.051,0.031,"",""
"","","","",fixed,scale(log(body mass)),-0.065,-0.184,0.059,"",""
"","","","",fixed,scale(sin(rad)),-0.077,-0.133,-0.019,"",""
"","","","",fixed,scale(cos(rad)),-0.011,-0.06,0.037,"",""
"","","","",fixed,scale(temperaturre),-0.023,-0.083,0.037,"",""
"","","","",fixed,Period,-0.091,-0.271,0.097,"",""
"","","","",random %,species within day & year (Intercept),5%,4%,5%,"",""
"","","","",random %,species within site (Intercept),0%,0%,0%,"",""
"","","","",random %,species (Intercept),3%,2%,3%,"",""
"","","","",random %,genus (Intercept),7%,5%,8%,"",""
"","","","",random %,site (Intercept),2%,0%,8%,"",""
"","","","",random %,site Period,2%,0%,8%,"",""
"","","","",random %,weekday (Intercept),1%,0%,1%,"",""
"","","","",random %,year (Intercept),5%,2%,8%,"",""
"","","","",random %,Residual,76%,59%,84%,"",""
Table S_FID_country - HU b,Escape distance,Gaussian,1456,fixed,(Intercept),0.078,-0.336,0.494,"",""
"","","","",fixed,scale(log(flock size)),-0.011,-0.057,0.035,"",""
"","","","",fixed,scale(log(body mass)),0.187,0.006,0.376,"",""
"","","","",fixed,scale(sin(rad)),-0.111,-0.18,-0.044,"",""
"","","","",fixed,scale(cos(rad)),-0.007,-0.06,0.05,"",""
"","","","",fixed,scale(temperaturre),-0.025,-0.095,0.043,"",""
"","","","",fixed,Period,-0.105,-0.307,0.109,"",""
"","","","",random %,species within day & year (Intercept),7%,5%,8%,"",""
"","","","",random %,species within site (Intercept),0%,0%,0%,"",""
"","","","",random %,species (Intercept),2%,2%,2%,"",""
"","","","",random %,genus (Intercept),18%,13%,18%,"",""
"","","","",random %,site (Intercept),1%,0%,12%,"",""
"","","","",random %,site Period,1%,0%,12%,"",""
"","","","",random %,weekday (Intercept),1%,0%,1%,"",""
"","","","",random %,year (Intercept),5%,3%,7%,"",""
"","","","",random %,Residual,63%,42%,74%,"",""
Table S_FID_country - AU a,Escape distance,Gaussian,1119,fixed,(Intercept),-0.064,-0.202,0.081,"",""
"","","","",fixed,scale(log(SD)),0.502,0.452,0.553,"",""
"","","","",fixed,scale(log(flock size)),0.02,-0.026,0.068,"",""
"","","","",fixed,scale(log(body mass)),-0.066,-0.163,0.029,"",""
"","","","",fixed,scale(sin(rad)),-0.032,-0.099,0.036,"",""
"","","","",fixed,scale(cos(rad)),-0.026,-0.093,0.041,"",""
"","","","",fixed,scale(temperaturre),0.009,-0.045,0.063,"",""
"","","","",fixed,Period,-0.009,-0.08,0.062,"",""
"","","","",random %,species within day & year (Intercept),7%,6%,7%,"",""
"","","","",random %,species within site (Intercept),13%,11%,13%,"",""
"","","","",random %,species (Intercept),14%,11%,14%,"",""
"","","","",random %,genus (Intercept),2%,1%,2%,"",""
"","","","",random %,site (Intercept),0%,-1%,8%,"",""
"","","","",random %,site Period,0%,-1%,8%,"",""
"","","","",random %,weekday (Intercept),0%,0%,0%,"",""
"","","","",random %,year (Intercept),0%,0%,0%,"",""
"","","","",random %,Residual,64%,51%,68%,"",""
Table S_FID_country - AU b,Escape distance,Gaussian,1119,fixed,(Intercept),-0.18,-0.432,0.058,"",""
"","","","",fixed,scale(log(flock size)),0.051,-0.002,0.104,"",""
"","","","",fixed,scale(log(body mass)),0.055,-0.073,0.184,"",""
"","","","",fixed,scale(sin(rad)),-0.017,-0.098,0.063,"",""
"","","","",fixed,scale(cos(rad)),-0.006,-0.08,0.069,"",""
"","","","",fixed,scale(temperaturre),0.004,-0.058,0.067,"",""
"","","","",fixed,Period,0.156,-0.007,0.331,"",""
"","","","",random %,species within day & year (Intercept),8%,5%,10%,"",""
"","","","",random %,species within site (Intercept),12%,8%,15%,"",""
"","","","",random %,species (Intercept),17%,14%,17%,"",""
"","","","",random %,genus (Intercept),5%,4%,5%,"",""
"","","","",random %,site (Intercept),1%,-10%,15%,"",""
"","","","",random %,site Period,1%,-10%,15%,"",""
"","","","",random %,weekday (Intercept),0%,0%,0%,"",""
"","","","",random %,year (Intercept),1%,0%,2%,"",""
"","","","",random %,Residual,55%,36%,73%,"",""
