model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S_FID_g - full a,Escape distance,Gaussian,3644,fixed,(Intercept),0.021,-0.095,0.142,"",""
"","","","",fixed,year,0.017,-0.024,0.059,"",""
"","","","",fixed,starting distance (ln)),0.498,0.466,0.53,"",""
"","","","",fixed,flock size (ln),-0.002,-0.028,0.024,"",""
"","","","",fixed,body mass (ln),0.027,-0.039,0.092,"",""
"","","","",fixed,sine of radians,-0.009,-0.049,0.032,"",""
"","","","",fixed,cosine of radians,0.011,-0.022,0.043,"",""
"","","","",fixed,temperaturre,0.022,-0.015,0.06,"",""
"","","","",fixed,Google Mobility,-0.096,-0.228,0.034,"",""
"","","","",random %,species within day & year (Intercept),6%,5%,7%,"",""
"","","","",random %,species within site (Intercept),5%,4%,5%,"",""
"","","","",random %,species (Intercept),7%,7%,7%,"",""
"","","","",random %,site (Intercept),9%,9%,9%,"",""
"","","","",random %,genus (Intercept),0%,-1%,4%,"",""
"","","","",random %,genus Google Mobility,0%,-1%,4%,"",""
"","","","",random %,Country (Intercept),1%,-4%,4%,"",""
"","","","",random %,Country Google Mobility,1%,-4%,4%,"",""
"","","","",random %,Residual,71%,59%,82%,"",""
Table S_FID_g - full b,Escape distance,Gaussian,3644,fixed,(Intercept),0.108,-0.143,0.361,"",""
"","","","",fixed,year,0.079,0.027,0.131,"",""
"","","","",fixed,flock size (ln),0.012,-0.017,0.042,"",""
"","","","",fixed,body mass (ln),0.132,0.049,0.217,"",""
"","","","",fixed,sine of radians,0.066,0.02,0.113,"",""
"","","","",fixed,cosine of radians,0.075,0.037,0.113,"",""
"","","","",fixed,temperaturre,0.053,0.005,0.1,"",""
"","","","",fixed,scale(StringencyIndex),0.045,-0.028,0.118,"",""
"","","","",fixed,Google Mobility,-0.117,-0.302,0.074,"",""
"","","","",random %,species within day & year (Intercept),7%,5%,9%,"",""
"","","","",random %,species within site (Intercept),6%,4%,8%,"",""
"","","","",random %,species (Intercept),10%,8%,12%,"",""
"","","","",random %,site (Intercept),13%,10%,15%,"",""
"","","","",random %,genus (Intercept),0%,-1%,5%,"",""
"","","","",random %,genus Google Mobility,0%,-1%,5%,"",""
"","","","",random %,Country (Intercept),1%,-16%,10%,"",""
"","","","",random %,Country Google Mobility,1%,-16%,10%,"",""
"","","","",random %,Residual,62%,41%,89%,"",""
Table S_FID_g - FI a,Escape distance,Gaussian,322,fixed,(Intercept),0.023,-0.194,0.232,"",""
"","","","",fixed,year,0.13,-0.011,0.272,"",""
"","","","",fixed,starting distance (ln)),0.194,0.087,0.301,"",""
"","","","",fixed,flock size (ln),-0.119,-0.219,-0.015,"",""
"","","","",fixed,body mass (ln),0.238,0.086,0.399,"",""
"","","","",fixed,sine of radians,0.132,-0.012,0.272,"",""
"","","","",fixed,cosine of radians,0.042,-0.081,0.163,"",""
"","","","",fixed,temperaturre,-0.004,-0.139,0.131,"",""
"","","","",fixed,Google Mobility,-0.1,-0.247,0.036,"",""
"","","","",random %,species within site (Intercept),13%,12%,13%,"",""
"","","","",random %,species within day & year (Intercept),3%,2%,3%,"",""
"","","","",random %,site (Intercept),17%,13%,19%,"",""
"","","","",random %,species (Intercept),0%,0%,0%,"",""
"","","","",random %,genus (Intercept),2%,1%,4%,"",""
"","","","",random %,Residual,66%,62%,71%,"",""
Table S_FID_g - FI b,Escape distance,Gaussian,322,fixed,(Intercept),-0.004,-0.226,0.225,"",""
"","","","",fixed,year,0.153,0.009,0.295,"",""
"","","","",fixed,flock size (ln),-0.113,-0.216,-0.009,"",""
"","","","",fixed,body mass (ln),0.317,0.158,0.479,"",""
"","","","",fixed,sine of radians,0.119,-0.024,0.263,"",""
"","","","",fixed,cosine of radians,0.03,-0.091,0.156,"",""
"","","","",fixed,temperaturre,-0.017,-0.153,0.116,"",""
"","","","",fixed,Google Mobility,-0.088,-0.236,0.054,"",""
"","","","",random %,species within site (Intercept),14%,14%,15%,"",""
"","","","",random %,species within day & year (Intercept),3%,3%,3%,"",""
"","","","",random %,site (Intercept),18%,15%,21%,"",""
"","","","",random %,species (Intercept),0%,0%,1%,"",""
"","","","",random %,genus (Intercept),2%,1%,4%,"",""
"","","","",random %,Residual,62%,57%,67%,"",""
Table S_FID_g - PL a,Escape distance,Gaussian,329,fixed,(Intercept),0.002,-0.127,0.135,"",""
"","","","",fixed,year,-0.189,-0.327,-0.048,"",""
"","","","",fixed,starting distance (ln)),0.532,0.446,0.62,"",""
"","","","",fixed,flock size (ln),-0.023,-0.107,0.061,"",""
"","","","",fixed,body mass (ln),-0.097,-0.203,0.013,"",""
"","","","",fixed,sine of radians,0.109,-0.14,0.357,"",""
