model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S_FID_s - full a,Escape distance,Gaussian,3676,fixed,(Intercept),-0.076,-0.334,0.187
"","","","",fixed,year,0.02,-0.027,0.066
"","","","",fixed,starting distance (ln)),0.491,0.46,0.523
"","","","",fixed,flock size,-0.003,-0.03,0.024
"","","","",fixed,body mass,0.023,-0.047,0.092
"","","","",fixed,sine of radians,-0.02,-0.061,0.023
"","","","",fixed,cosine of radians,-0.005,-0.04,0.03
"","","","",fixed,temperaturre,-0.007,-0.047,0.035
"","","","",fixed,Stringency index,0.015,-0.157,0.183
"","","","",random %,species within day & year (Intercept),5%,4%,7%
"","","","",random %,species within site (Intercept),5%,4%,6%
"","","","",random %,species (Intercept),8%,6%,8%
"","","","",random %,site (Intercept),8%,7%,9%
"","","","",random %,genus (Intercept),4%,4%,4%
"","","","",random %,Country (Intercept),1%,-14%,14%
"","","","",random %,Country Stringency index,1%,-14%,14%
"","","","",random %,Residual,68%,47%,93%
Table S_FID_s - full b,Escape distance,Gaussian,3676,fixed,(Intercept),-0.113,-0.458,0.241
"","","","",fixed,year,0.085,0.028,0.141
"","","","",fixed,flock size,0.01,-0.019,0.04
"","","","",fixed,body mass,0.136,0.049,0.223
"","","","",fixed,sine of radians,0.045,-0.002,0.093
"","","","",fixed,cosine of radians,0.048,0.008,0.088
"","","","",fixed,temperaturre,0.008,-0.039,0.055
"","","","",fixed,Stringency index,0.01,-0.216,0.234
"","","","",random %,species within day & year (Intercept),6%,4%,10%
"","","","",random %,species within site (Intercept),5%,4%,9%
"","","","",random %,species (Intercept),10%,7%,14%
"","","","",random %,site (Intercept),11%,8%,15%
"","","","",random %,genus (Intercept),6%,5%,8%
"","","","",random %,Country (Intercept),1%,-26%,18%
"","","","",random %,Country Stringency index,1%,-26%,18%
"","","","",random %,Residual,58%,36%,97%
Table S_FID_s - FI a,Escape distance,Gaussian,354,fixed,(Intercept),0.033,-0.179,0.243
"","","","",fixed,year,-0.105,-0.337,0.121
"","","","",fixed,starting distance (ln)),0.187,0.086,0.291
"","","","",fixed,flock size,-0.111,-0.21,-0.008
"","","","",fixed,body mass,0.177,0.012,0.34
"","","","",fixed,sine of radians,0.06,-0.062,0.184
"","","","",fixed,cosine of radians,0.012,-0.109,0.135
"","","","",fixed,temperaturre,-0.084,-0.197,0.028
"","","","",fixed,Stringency index,0.156,-0.074,0.381
"","","","",random %,species within site (Intercept),12%,12%,13%
"","","","",random %,species within day & year (Intercept),3%,3%,3%
"","","","",random %,site (Intercept),12%,10%,15%
"","","","",random %,species (Intercept),0%,0%,1%
"","","","",random %,genus (Intercept),3%,2%,5%
"","","","",random %,Residual,68%,64%,73%
Table S_FID_s - FI b,Escape distance,Gaussian,354,fixed,(Intercept),-0.012,-0.231,0.209
"","","","",fixed,year,-0.067,-0.309,0.167
"","","","",fixed,flock size,-0.107,-0.206,-0.003
"","","","",fixed,body mass,0.249,0.079,0.414
"","","","",fixed,sine of radians,0.054,-0.074,0.179
"","","","",fixed,cosine of radians,0.005,-0.117,0.124
"","","","",fixed,temperaturre,-0.086,-0.2,0.025
"","","","",fixed,Stringency index,0.137,-0.092,0.374
"","","","",random %,species within site (Intercept),14%,14%,15%
"","","","",random %,species within day & year (Intercept),4%,3%,4%
"","","","",random %,site (Intercept),14%,11%,16%
"","","","",random %,species (Intercept),3%,2%,5%
"","","","",random %,genus (Intercept),1%,1%,2%
"","","","",random %,Residual,64%,59%,69%
Table S_FID_s - PL a,Escape distance,Gaussian,329,fixed,(Intercept),0.002,-0.128,0.136
"","","","",fixed,year,-0.161,-0.394,0.073
"","","","",fixed,starting distance (ln)),0.532,0.447,0.617
"","","","",fixed,flock size,-0.024,-0.104,0.06
"","","","",fixed,body mass,-0.098,-0.205,0.009
"","","","",fixed,sine of radians,0.102,-0.16,0.36
"","","","",fixed,cosine of radians,-0.157,-0.416,0.112
"","","","",fixed,temperaturre,-0.171,-0.276,-0.065
"","","","",fixed,Stringency index,0.027,-0.207,0.262
"","","","",random %,species within day & year (Intercept),13%,12%,14%
"","","","",random %,species (Intercept),8%,6%,10%
"","","","",random %,genus (Intercept),0%,0%,0%
"","","","",random %,Residual,79%,77%,82%
Table S_FID_s - PL b,Escape distancey,Gaussian,329,fixed,(Intercept),0.001,-0.199,0.203
"","","","",fixed,year,-0.363,-0.634,-0.101
"","","","",fixed,flock size,0.06,-0.037,0.16
"","","","",fixed,body mass,-0.028,-0.181,0.121
"","","","",fixed,sine of radians,-0.006,-0.304,0.305
"","","","",fixed,cosine of radians,-0.043,-0.344,0.276
"","","","",fixed,temperaturre,-0.162,-0.288,-0.037
"","","","",fixed,Stringency index,-0.027,-0.298,0.24
"","","","",random %,species within day & year (Intercept),7%,7%,7%
